;;x
move_capital_to_delhi_desc;Перенести столицу в Дели;
ganghwa_treaty_title;Теперь, когда Индия объединилась, нам следует подумать о переносе столицы в более центральный и традиционный город. Дели: сердце Индии.;
ganghwa_treaty_desc;Канхваский договор;
iwakura_mission_title;С нашей превосходящей огневой мощью над корейцами можно будет заблокировать их согласие на наши требования.;
iwakura_mission_desc;Iwakura Mission;
meiji_constitution_title;Теперь, когда мы стали силой, с которой нужно считаться, западные страны не могут игнорировать нас. Возникла идея послать дипломатическую миссию на Запад, чтобы не только попытаться пересмотреть неравноправные договоры, навязанные нашей стране в более слабые времена, но и узнать больше об их путях и помочь в нашей собственной модернизации.;
meiji_constitution_desc;Конституция Мэйдзи;
begin_line_of_advantage_title;После исчерпывающего изучения западных демократических методов японские ученые остановились на методе правления, при котором император будет председательствовать на имперском сейме, избираемом народом и при этом сохраняющем как имперскую власть, так и наши традиции. Они считают, что это лучший способ для Японии перейти в современную эпоху.;
begin_line_of_advantage_desc;Линия преимущества;
line_of_advantage;Концепция riekisen, или «линия преимущества», означает, что мы должны распространить японское влияние за пределы наших национальных границ, чтобы обеспечить нашу безопасность. Это означает обращение всех японских вооруженных сил, да и всего нашего народа, к идее иностранного завоевания и славы.;
line_of_advantage_desc;Линия преимущества;
refuse_line_of_advantage_title;Концепция riekisen, или «линия преимущества», означает, что мы должны распространить японское влияние за пределы наших национальных границ, чтобы обеспечить нашу безопасность. Это означает обращение всех японских вооруженных сил, да и всего нашего народа, к идее иностранного завоевания и славы.;
refuse_line_of_advantage_desc;Путь прогресса;
no_line_of_advantage;Вместо сосредоточения внимания на военной мощи и завоеваниях безопасность Японии должна обеспечиваться приверженностью техническому прогрессу и реформам. Мы должны сравняться с западными державами, и быстро, иначе они обязательно воспользуются преимуществом и обнаружат, что Япония совершенно не готова.;
no_line_of_advantage_desc;Путь прогресса;
annex_korea_title;Вместо сосредоточения внимания на военной мощи и завоеваниях безопасность Японии должна обеспечиваться приверженностью техническому прогрессу и реформам. Мы должны сравняться с западными державами, и быстро, иначе они обязательно воспользуются преимуществом и обнаружат, что Япония совершенно не готова.;
annex_korea_desc;Приложение Корея;
claim_korea_title;Сохранение независимости Кореи обходится слишком дорого. Если мы хотим сохранить «линию преимущества», мы должны раздвинуть наши границы далеко за пределы их нынешней сферы. Корея должна быть превращена в протекторат Империи, как для ее собственного, так и для нашего блага.;
claim_korea_desc;Заявить права на Корею;
order_to_expel_barbarians_title;Поскольку Корея находится под иностранным управлением, наша нация чувствует угрозу. «Линия преимущества» означает, что защита наших границ означает расширение нашего влияния за их пределы, и, таким образом, мы должны претендовать на Корейский полуостров и вырвать его у тех, кто держит его в своих руках — конечно, во имя корейской свободы. .;
order_to_expel_barbarians_desc;Приказ об изгнании варваров;
peace_with_the_emperor_title;С момента восхождения сёгуна Токугава роль Императора была ограничена ролью подставного лица. Мы ведем Японию, но мы этого не делаем. В последнее время лидерство сёгуна оказалось под вопросом. Его растущая неспособность обращаться с иностранцами таким образом, чтобы показать какую-либо манеру лидерства, вынуждает Императора действовать - с разрешения Сёгуна или без него. Мы отправим призыв к людям от нашего имени, потребовав, чтобы они восстали и изгнали чужеземцев, которых не будет сёгун.;
peace_with_the_emperor_desc;Мир с императором;
unite_the_daimyos_title;С момента прихода к власти сёгуна Токугава Император оставался подставным лицом. Несмотря на это, он является лидером японского народа и время от времени выражал недовольство нашим собственным положением как правителя Японии. Это вызвало конфликт, и если мы достигнем точки, в которой наши позиции не так уж различаются — и действительно, Император доволен нашей способностью править, возможно, мы сможем положить конец этому конфликту раз и навсегда.;
unite_the_daimyos_desc;Объедините даймё;
treaty_of_shimonoseki_title;Когда даймё находятся под нашим полным господством, мы сможем полностью поставить их под контроль правительства. Разделения, поддерживаемые системой хань, ослабляют нас в целом — сёгунат должен быть сильным и единым, если он хочет двигаться вперед как мировая держава.;
treaty_of_shimonoseki_desc;Treaty of Shimonoseki;
anglo_japanese_alliance_title;Когда китайское сопротивление рушится, мы можем получить преимущество, а именно остров Формоза и репарации, не говоря уже о доказательстве нашего собственного превосходства в конфликте.;
anglo_japanese_alliance_desc;Англо-японский союз;
austrian_form_south_german_confederation2_title;Имея общих врагов среди великих держав, возможно, будет лучше, если Британская империя и наша нация будут работать вместе.;
austrian_form_south_german_confederation2_desc;Станьте Южногерманской Конфедерацией;
austrian_form_south_german_confederation_title;Хотя Германия не была объединена до провозглашения Германской империи после франко-прусской войны, рост национализма в 19 веке означал, что объединение было запланировано задолго до этого, и Франкфуртское собрание 1848 года было важным предшественником. Достигнув господствующего положения среди южногерманских государств, мы можем образовать Южногерманскую конфедерацию.;
austrian_form_south_german_confederation_desc;Создать Южно-Германскую Конфедерацию;
mediate_belgian_independence_title;Имея наше господствующее положение над южногерманскими землями, мы можем создать Южногерманскую Конфедерацию — союз, который будет находиться под нашим полным контролем и будет более полезным союзником, чем нации по отдельности.;
mediate_belgian_independence_desc;Посредник за независимость Бельгии;
organize_libya_TUR_title;Хотя де-факто независимость Бельгии от Нидерландов была установлена ??силой оружия во время бельгийской революции 1831 года, она не была подтверждена де-юре Нидерландами, и технически между двумя странами все еще существует состояние войны. Возникла идея, что Британская империя должна вмешаться и выступить посредником в урегулировании, потребовав от голландцев отказаться от своих претензий в обмен на гарантии независимости Бельгии и контроля над Люксембургом. Маловероятно, что, когда за столом переговоров державы Европы, голландцы откажутся.;
organize_libya_TUR_desc;Организовать Ливию;
reorganize_libya_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
reorganize_libya_desc;Требовать Ливию;
organize_algeria_title;Теперь, когда мы завладели этой африканской колонией, мы должны реорганизовать ее структуру, чтобы сделать ее действительно частью нашей большой колониальной администрации.;
organize_algeria_desc;Организовать Алжир;
organize_uganda_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_uganda_desc;Организовать Уганду;
organize_zanzibar_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_zanzibar_desc;Организовать Занзибар;
organize_botswana_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_bostwana_desc;Организовать Бечуаналенд;
organize_sudan_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_sudan_desc;Организовать Судан;
organize_ghana_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_ghana_desc;Организовать Гану;
organize_mauretania_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_mauretania_desc;Организовать Мавретанию;
organize_dahomey_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_dahomey_desc;Организовать Дагомею;
move_capital_to_accra_title;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
move_capital_to_accra_desc;Перенести столицу в Аккру;
convention_of_peking_title;Аккра обеспечивает лучшую столицу для нашей страны - мы должны немедленно переместить туда правительство.;
convention_of_peking_desc;Пекинская конвенция;
peking_convention_TPG_title;После Нерчинского договора (1689 г.) Российская империя признала реку Айгунь и Становые горы естественными границами между Россией и Китаем. Однако многие в правительстве считают, что в наших интересах получить доступ к южному порту на Японском море, а именно к китайскому городу Хайшенвай. Учитывая, что китайцы едва контролируют свои северо-восточные провинции, похоже, мы имеем право вести переговоры об их контроле… и сейчас, когда их состояние беспорядков, самое подходящее время, чтобы приблизиться к ним.;
peking_convention_TPG_desc;Пекинская конвенция;
mongolian_protectorate_title;После Нерчинского договора (1689 г.) Российская империя признала реку Аргунь и Становые горы естественными границами между Россией и Китаем. В середине 19 века русские выйдут за эту границу, чтобы захватить обширные земли между Становыми горами и рекой Амур. Позднее западные союзники завершили Вторую опиумную войну, сжег летние дворцы китайского императора и вошли в Пекин. Хитрый генерал-майор по имени Николай Игнатьев смог убедить китайцев, что только поддержка России заставит союзников эвакуировать Пекин. Платой за эту поддержку стала Пекинская конвенция, подтвердившая завоевания Муравьева и, кроме того, уступившая России территорию между рекой Уссури и Тихим океаном. Таким образом, Россия получила около 350 000 квадратных миль территории без единого выстрела.;
mongolian_protectorate_desc;Монгольский протекторат;
valparaiso_harbor_title;Наше влияние в Монголии таково, что мы в состоянии оторвать нацию от китайцев и поставить ее под свой контроль. Они были бы нашими вассалами, пользуясь защитой от притязаний Китая на свою землю.;
valparaiso_harbor_desc;Жемчужина Тихого океана;
annex_easter_island_title;Вальпараисо стал обязательной остановкой для судов, пересекающих Атлантический и Тихий океаны. В своей роли крупного морского порта Вальпараисо принимает иммигрантов из многих европейских стран, но это может измениться, если откроется новый маршрут.;
annex_easter_island_desc;Приложение Остров Пасхи;
declare_neutrality_title;Коренное население острова Пасхи за последние годы пережило немало опустошений, от нападений перуанских пиратов до эпидемии туберкулеза. Один колонист уже несколько лет держит там овцеводческое хозяйство и недавно предложил продать его нашему правительству. Учитывая, что его ранчо занимает большую часть острова, мы имеем полное право требовать суверенитета над ним.;
declare_neutrality_desc;Объявить швейцарский нейтралитет;
abandon_neutrality_title;Швейцарцев мало интересуют войны в Европе.;
abandon_neutrality_desc;Отказаться от швейцарского нейтралитета;
violate_neutrality_title;Мощь швейцарской армии такова, что мы без труда можем дать отпор нашим соседям. Наша политика нейтралитета больше не нужна.;
violate_neutrality_desc;Нарушить швейцарский нейтралитет;
build_addis_ababa_title;Швейцарцы, возможно, объявили себя «нейтральными», но если они считают, что это остановит нас — если они полагают, что нас остановит мнение любого из их союзников, — тогда они жестоко ошибаются.;
build_addis_ababa_desc;Построить Аддис-Абебу;
eth_mission_to_cairo_title;Основанный в 1886 году императором Менеликом II, Аддис-Абеба станет столицей Эфиопии и местом расположения Императорского дворца.;
eth_mission_to_cairo_desc;Миссия в Каир;
belize_purchase_title;Напряженные отношения между Эфиопией и Египтом должны прекратиться. У каждого из нас есть свои земли, и нам действительно незачем воевать. В худшем случае продолжение конфликта сделает обе наши страны уязвимыми для эксплуатации иностранными державами.;
belize_purchase_desc;Покупка Белиза;
form_the_ikhwan_title;Мы заинтересованы в покупке Белиза у Великобритании и интеграции его в Соединенные Штаты Центральной Америки. Таким образом, мы отправили делегатов за границу в Лондон и в настоящее время ожидаем ответа.;
form_the_ikhwan_desc;Союз с ваххабитами;
become_flanders_title;Союз с ваххабитским религиозным орденом среди бедуинов даст нам именно ту силу, которая нужна для объединения Аравии под нашим правлением.;
become_flanders_desc;Стать Фландрией;
become_wallonia_title;Без валлонцев пришло время снова править фламандцам.;
become_wallonia_desc;Станьте Валлонией;
become_belgium_FLA_title;Без фламандцев пришло время снова поднять валлонский флаг.;
become_belgium_FLA_desc;Объедините Бельгию;
become_belgium_WLL_title;Фламандцы и валлонцы могут воссоединиться под единым флагом. Да здравствует Бельгия!;
become_belgium_WLL_desc;Объедините Бельгию;
colonial_destiny_title;Фламандцы и валлонцы могут воссоединиться под единым флагом. Да здравствует Бельгия!;
colonial_destiny_desc;Колониальная судьба;
self_strengthening_movement;Судьба бельгийского народа - цивилизовать последние оставшиеся дикие земли мира. В Африку!;
self_strengthening_movement_title;Самоусиливающееся движение;
self_strengthening_movement_desc;Самоусиливающееся движение;
ultimatum_to_portugal_title;Мы не можем отступать перед западными странами. Мы должны сделать шаг к модернизации, чего бы это ни стоило!;
ultimatum_to_portugal_desc;Отправить ультиматум Португалии;
treaty_of_nanking_title;Британское правительство заинтересовано в расширении наших колоний на юге Африки на север. Это будет невозможно, если португальцы осуществят свои мечты о «Розовой карте», соединив Анголу и Мозамбик. Мы должны выступить с требованием или столкнуться с возможностью сдачи Центральной Африки другим державам.;
treaty_of_nanking_desc;Нанкинский договор;
simla_convention_title;Используя наше новое влияние на китайское правительство, мы можем заставить их сесть за стол переговоров и добиться торговых и территориальных уступок, не последней из которых будет уступка Гонконга, ценного порта в южных морях.;
simla_convention_desc;Конвенция в Симле;
demand_retreat_from_india_title;Теперь, когда Тибет стал свободной страной, нашему правительству может быть благоразумно сделать шаг вперед и договориться. Тибет может быть полезным союзником, и все, что ослабляет китайское правительство, нельзя упускать.;
demand_retreat_from_india_desc;Требовать отступления от Индии;
join_fsa_title;Большая часть Индии была вырвана из-под британского контроля. Перед нами стоит выбор: либо потребовать их отступления с субконтинента, освободив всех своих вассалов и присоединенные земли, либо продолжить нашу войну и надеяться на достижение текущих целей. Отступление британцев может привести к хаосу, и мы, конечно, не достигнем целей войны, которые у нас есть, но это, по крайней мере, выведет британцев из уравнения на годы вперед.;
join_fsa_desc;Присоединяйтесь к ССА;
join_new_csa_title;Люди призвали нас объединиться под новым знаменем FSA. Да здравствуют Сыны Свободы!;
join_new_csa_desc;Присоединяйтесь к Конфедерации;
move_capital_to_algiers_title;Народ призвал нас объединиться под новым знаменем Конфедерации. Да здравствует Юг!;
move_capital_to_algiers_desc;Перенести столицу в Алжир;
greater_assyria_title;Алжир теперь принадлежит нам. Пора вернуть наше правительство на его место!;
greater_assyria_desc;Заявить права на Великую Ассирию;
chuang_guangdong_title;Наш народ рассеян под властью чужеземных народов — мы должны поставить его под свое знамя и вернуть себе земли, которые когда-то были нашими.;
chuang_guangdong_desc;Chuang Guandong;
reclaim_palestine_title;Буквально «врезавшись в Гуандун», это была политика, проведенная цинским правительством, которая разрушила барьер для неманьчжурских поселений на северо-восточной границе. С потерей Внешней Маньчжурии жизненно важно, чтобы граница была заселена поселенцами, чтобы предотвратить дальнейшую экспансию на территорию Китая.;
reclaim_palestine_desc;Вернуть Палестину;
EVTNAME20110;Израильтяне незаконно оккупировали наши земли. Настало время вернуть их Палестине!;
EVTDESC20110;Аборигены в $STATENAME$;
EVTNAME20111;Недавняя демонстрация в $PROVINCENAME$ привлекла внимание к бедственному положению туземцев в $STATENAME$, а именно к их притеснению правительством $COUNTRY_ADJ$ и их требованиям независимости. Если что-то не будет сделано в ближайшее время, мы можем столкнуться с вмешательством иностранных держав.;
EVTDESC20111;Проблемы в $STATENAME$;
EVTNAME20112;Недавние беспорядки в $PROVINCENAME$ привлекли к $STATENAME$ большое внимание — такое, которое обычно побуждало бы великие державы рассмотреть вопрос о вмешательстве. Однако кажется, что требования независимости со стороны «нецивилизованных» народов в значительной степени остались без внимания. Новости о неприятностях исчезли так же быстро, как и начались.;
EVTDESC20112;Долгие воспоминания;
EVTNAME20115;Хотя недавние неприятности в $STATENAME$ вновь породили призрак иностранной интервенции, многие помнят прошлый кризис вокруг людей $STATENAME$, как будто это было вчера. Как бы они ни старались, мир просто не готов снова их слушать — пока.;
EVTDESC20115;Инцидент в $STATENAME$;
EVTNAME32520;Демонстрация граждан $PROVINCECULTURE$ в $PROVINCENAME$ быстро вышла из-под контроля, так как солдаты $COUNTRY_ADJ$ открыли огонь по толпе, чтобы разогнать ее. Начались беспорядки, несколько протестующих были убиты. На протяжении всего $STATENAME$ реакция была возмущенной - и есть попытка некоторых недовольных $PROVINCECULTURE$ привлечь внимание мира, просто еще один пример пренебрежения $COUNTRY$ к миру и цивилизованному поведению - или так они скажут.;
EVTDESC32520;Восточные острова;
EVTNAME32521;Острова Сахалин и Курилы являются естественным продолжением наших владений в Охотске и на Камчатке, и мы должны стремиться претендовать на эти земли раньше, чем это сделают японцы.;
EVTDESC32521;Симодский договор;
EVTOPTA32521;Вице-адмирал Евфимий Путятин отплыл из России в $COUNTRY$ с миссией установить официальные отношения и определить границы между нашими соответствующими территориями. После многомесячных переговоров мы договорились открыть три порта для русских купцов и гарантировать проход русских судов через воды и проливы $COUNTRY_ADJ$. Обе стороны согласились, что наши границы на Курильских островах проходят к северу от Итурупа, и предлагают разделить суверенитет над островом Сахалин. Готовый договор был подписан 7 февраля $YEAR$ в Симоде.;
EVTNAME32522;Пусть наши империи процветают вместе!;
EVTDESC32522;Смута на Сахалине;
EVTDESC32523;Конфликт назревает на Сахалине. Общий суверенитет потерпел неудачу, и в отсутствие официальной границы между русскими и японцами поселенцы с обеих сторон теперь борются за территорию. Ради стабильности мы должны раз и навсегда четко обозначить наши границы. Есть несколько решений, которые мы могли бы предложить: во-первых, мы могли бы официально разделить остров между нами и Японией, фактически узаконив статус-кво. Это было бы великодушно с нашей стороны и улучшило бы наши отношения с Японией. Во-вторых, мы могли бы добиться полного контроля над Сахалином, предложив взамен уступить северные Курилы и произвести выплаты за переселение перемещенных лиц. Это будет представлять собой скромную прибыль, но Япония может не согласиться на это. Наконец, мы могли требовать полного контроля над Сахалином и ничего не предлагать взамен. Это повредило бы нашей репутации и сильно оскорбило бы японцев, которые, вероятно, отказались бы. Как должны действовать наши дипломаты?;
EVTDESC32524;Похоже, на Сахалине назревает конфликт. Общий суверенитет потерпел неудачу, и в отсутствие официальной границы между русскими и нашими притязаниями поселенцы с обеих сторон теперь борются за территорию. Недавно к нам подошел русский, все улыбаются и готовы к сотрудничеству. Нынешний статус-кво предложили закрепить официально: на Сахалин будет проведена граница, разделяющая его надвое. Учитывая тот факт, что они могли форсировать этот вопрос, похоже, они хотят, чтобы мы были друзьями, а не врагами.;
EVTDESC32525;Похоже, на Сахалине назревает конфликт. Общий суверенитет потерпел неудачу, и в отсутствие официальной границы между русскими и нашими притязаниями поселенцы с обеих сторон теперь борются за территорию. Ради стабильности мы должны раз и навсегда четко обозначить наши границы. Теперь русские предложили обмен приграничными территориями: мы отдаем им полный контроль над Сахалином, а взамен они уступают северные Курилы вплоть до Камчатки. Россия также предложила произвести выплаты за переселение, чтобы помочь японцам переселиться с Сахалина. Мы можем принять их предложение, а можем настаивать на сохранении нынешних границ на Сахалине. Если мы примем это, то потеряем скромную территорию, но улучшим отношения с Россией. С другой стороны, если мы будем настаивать на статус-кво, мы сохраним нашу нынешнюю территорию, но рискуем эскалацией конфликта.;
EVTNAME32526;Кажется, на Сахалине назревает конфликт. Общий суверенитет потерпел неудачу, и в отсутствие официальной границы между русскими и нашими притязаниями поселенцы с обеих сторон теперь борются за территорию. Ради стабильности мы должны раз и навсегда четко обозначить наши границы. Теперь русские возмутительно потребовали, чтобы мы отдали им полный контроль над Сахалином ни за что! Их переговорщики мрачно намекают на то, что российские корабли будут обстреливать японские порты, если мы откажемся. Мы можем принять их предложение, а можем настаивать на сохранении нынешних границ на Сахалине. Если мы сдадимся, мы потеряем многообещающую колонию и будем выглядеть слабыми в глазах других народов. Но если мы будем настаивать на статус-кво, конфликт, скорее всего, перерастет в открытую войну.;
EVTDESC32526;Отказался!;
EVTNAME32527;Японцы отвергли наше предложение и теперь настаивают на том, что не согласятся ни на что иное, как на нынешний раздел Сахалина. Мы можем отступить и принять статус-кво, а можем применить силу, чтобы добиться своего. Если мы примем статус-кво после достижения большего, мы будем выглядеть слабыми в глазах других держав, хотя отношения с Японией сохранятся. Но наш единственный выход сейчас — объявить агрессивную войну за острова, что повредит нашей репутации за границей.;
EVTDESC32527;Санкт-Петербургский договор;
EVTDESC32528;Договор подписан! Наши границы на Сахалине и Курилах теперь урегулированы, и судам обеих империй обеспечен проход через Татарский пролив и Охотское море. Это должно значительно снизить напряженность в регионе и обеспечить тесные дипломатические отношения между нашими странами.;
EVTDESC32529;Война за Сахалин проиграна! Россия была вынуждена признать суверенитет Японии над югом острова. Однажды мы все исправим, но пока мы побеждены.;
EVTDESC32530;Война за Сахалин выиграна! Мы успешно защитились от ошибочной агрессии России, и русские были вынуждены заключить договор, признающий суверенитет Японии. На Сахалине восстановлен мир!;
EVTDESC32531;Война за Сахалин выиграна! Россия установила свою власть над всем островом, и японцы были вынуждены заключить договор об отказе от своих претензий. На Сахалине восстановлен мир!;
EVTNAME33030;Война за Сахалин проиграна! Мы были вынуждены согласиться на унизительный мир и признать суверенитет России. Однажды мы все исправим, но пока мы побеждены.;
EVTDESC33030;Немецкая восточноафриканская компания;
EVTNAME33031;Общество немецкой колонизации уже несколько лет пытается колонизировать побережье Занзибара, образовав Германскую восточноафриканскую компанию и подписав несколько договоров с племенами суахили. Теперь кажется, что они сталкиваются с трудностями в связи с мятежами и просят нас вмешаться. Султан Занзибара, несомненно, будет возражать, если мы это сделаем, поскольку он претендует на власть над побережьем — даже если его фактическая власть минимальна — но что с того, если он делает? Это может быть интересной возможностью.;
EVTDESC33031;Немецкие военные корабли!;
EVTNAME37235;Последние несколько лет племена суахили на побережье заключают договоры с европейцами, позволяющие им создавать небольшие поселения. Мы знали, что это будет проблемой, и были правы. Мощные боевые корабли прибыли из $FROMCOUNTRY$, демонстрируя свою мощь, поскольку они предъявляют требования ко всему побережью. Если мы сделаем это, говорят они, мы будем в безопасности от дальнейших домогательств, и они утверждают, что мы все равно не контролируем побережье.;
EVTDESC37235;Алжирское восстание;
EVTDESC97130;Не так давно озлобленность алжирцев по отношению к османскому правлению заставила их почти приветствовать французскую интервенцию. Однако наша колонизация Алжира и северного побережья вызвала сопротивление под руководством эмира Абдель Кадира. Мужчина объединил племена Магриба, а теперь предпринял нападения на несколько колониальных поселений.;
