EVTNAME46306;;
EVTDESC46306;x;
145107.A;Интересно...;
SS120.T;Во время Великой германской войны (1795-1820 гг.) Прованс был одним из главных участников конфликта против революционной Этрурийской республики, которая посредством революции разорвала личную унию в пользу республики. Хотя им удалось сдержать республику в Тоскане, они не смогли восстановить личный союз. С рассветом послевенцеславской эры Валуа из Прованса разделились в своих намерениях. Продолжают ли они борьбу с Плантагенетами, чтобы вернуть себе право первородства? Или же они идут против своих хозяев и стремятся объединить итальянский полуостров в качестве наследников наследия Карла Анжуйского и Лоренцо Медичи. Для Прованса, несмотря на длинную череду неудач, возможно, они все же могут воскреснуть.;
SS120.D;Pour le vrai Roy de France!;
145120.A;История Плантагении;
SS121.D;Англо-французская колонизация Нового Света началась вскоре после его открытия и основания форта Святого Франциска в 1490 году на территории нынешней провинции Леони. Памплонский договор, подписанный тремя годами позже, подтвердил, что земли к северу от островов Зеленого Мыса будут принадлежать им, что было грубо нарушено не только испанцами, но и бургундами и скандинавами. Несмотря на это, колонизация материковой части Юго-Восточной Аркадии проходила гладко, с основанием других аванпостов, в том числе Талахаси в современной провинции Алибамон (французское искажение первоначального названия семинолов, Талахасси) в 1538 году и основанием Нового Орлеана в 1538 году. современная провинция Новая Франция. (назван в честь тогдашнего герцога Орлеанского Франциска де Плантагента) в 1545 году.;
145121.A;Интересно...;
SS122.D;В отличие от испанцев, которые включили ацтеков и другие племенные правящие классы в колониальную элиту, англо-французская элита состояла преимущественно из тех, кто иммигрировал с материка. Многие коренные жители Аркадии, такие как племена семинолов, криков, чикасо и шауни. Только чероки оставались в значительной степени сопротивляющимися ассимиляции, яростно поддерживая свою культуру, несмотря на то, что они были включены в колониальное правление в середине 18 века (язык чероки не претерпел значительных реформ до 1821 года при Секвойе).;
145122.A;Интересно...;
SS123.D;Англо-французский колонист также столкнулся с серьезными проблемами со стороны соперничающих колониальных держав. Несмотря на традиционный англо-франко-испанский союз, между Королевской колонией Плантагении (так называлась их аркадская колония) и вице-королевством Новой Испании (а позже и вице-королевством Лузитании) произошли пограничные инциденты, которые осложнили их отношения. Это также проявилось во враждебных отношениях с Новой Бургундией и Винландом, а различные войны на материке отразились и на колониях.;
145123.A;Интересно...;
SS124.D;Путь к независимости Плантагении от двойной монархии был в некотором смысле непреднамеренным. Это началось со смерти короля Эдуарда VI и последующего изгнания принца Чарльза в Новый Орлеан, где он стал де-факто вице-королем колонии. Во время своего пребывания там он реформировал колониальную армию, превратив ее из ряда отдельных ополченцев в профессиональную боевую силу. Именно эти реформы сделали Карла достаточно безопасным, чтобы провозгласить себя законным королем Англии и Франции, спровоцировав англо-французскую войну за престолонаследие (1767-1771).;
145124.A;Интересно...;
SS125.D;Плантагеновская армия бросила вызов двойной монархии в битве, и из-за их превосходного знания местности, использования ополчения в качестве застрельщиков, поддержки Скандинавии в поставках оружия и кораблей и нерешительной поддержки консерваторов у власти, увидел систематическое завоевание Плантагении для Карла к 1770 году. Однако, несмотря на успешную высадку в Бретани, армия короля Карла потерпела решительное поражение в битве при Ренне, в последующих битвах любая возможность удержаться в Бретани была невозможна, и из-за из-за неспособности двойной монархии вернуть свою бывшую колонию обе стороны согласились на мир. Брестский мирный договор утвердил Генриха IX королем Англии и Франции, а принца Чарльза - королем Плантагении - королем Карлом I, при этом обе стороны отказались от претензий на трон других.;
145125.A;Интересно...;
SS130.T;Плантагения наслаждалась большим периодом мира с момента обретения независимости, сохраняя свою культуру и свои права (рабство по-прежнему было законным и широко распространено во всех частях Королевства), однако угроза аркадизма, которую поддерживали Семь республик Новой Бургундии, была одновременно проклятием в форма его катастрофического поражения от их руки в Войне Двойного Союза и благословение, поскольку эти идеи породили концепцию Плантагении, а не Семи Республик, которая приведет объединенную Аркадию к более светлому будущему. Итак, Плантагения, убежденная в своей новой судьбе, идет вперед во имя просвещения и короля».;
SS130.D;Аркадская империя кажется хорошей идеей...;
145130.A;История Винланда;
SS131.D;Скандинавская традиция колонизации восходит к эпохе викингов. Норвежские поселенцы по большей части плыли на запад, открывая Фарерские острова и колонизируя их. Затем настала очередь Исландии, откуда Эрик Рыжий, отец которого был изгнан из Норвегии, а сам он был изгнан из Исландии, отплыл в Гренландию. Его сын Лейф затем стал первым европейцем, достигшим Аркадии, назвав землю, где он высадился, «Винландом», «землей винограда», поскольку в этом месте был найден дикий виноград. Однако скандинавское поселение было заброшено после посягательств со стороны «скрэлингов» — так называли коренное население. В течение 5 веков Винланд был заброшен и забыт, а Гренландия вскоре оказалась изолирована от Исландии и, следовательно, от Европы.;
145131.A;Интересно...;
SS132.D;Однако, чтобы не потерять курс на колонии, монархия Стюартов внезапно заинтересовалась плаванием на Запад в конце XVI века. После основания того, что впоследствии стало Плантагенией и Семью республиками, Ганс III, король Севера, захотел получить свою долю пирога. Был нанят исландский исследователь Кристиан Эрxсон, который продолжил исследовать побережье нынешнего Винланда. Ссылаясь на старые саги, он определил несколько регионов как регионы саг и популяризировал использование Винланда в качестве названия региона по возвращении в Копенгаген. Его многочисленные экспедиции привели его к финансированию нескольких городов, самым известным из которых был Эрxхавн (1570 г.), «порт Эрика», названный в честь наследника Кальмарского союза, который с годами стал самым важным городом скандинавской колонии.;
145132.A;Интересно...;
SS133.D;Винланд был последней европейской колонией, основанной в Новом Свете, а малочисленность скандинавского населения делала его также наименее населенным на континенте. Колония была основана на торговле мехами, в основном бобрами, которые были очень востребованы в Европе 17 века, и многие поселенцы были заинтересованы только в этой торговле, зарабатывании денег и возвращении на родину, где они наслаждались новым положением. Религиозные конфликты и первые пограничные конфликты с Новой Бургундией заставили скандинавов вскоре принять меры для поощрения иммиграции в этот район. В конце Имперской войны за религию произошла значительная эмиграция немцев из Померании в Винланд, где они вскоре составили значительную часть населения. Однако захват Галатии (Судурхафейяр) в той же войне отвлечет многих потенциальных колонистов в богатые воды Карибского моря.;
145133.A;Интересно...;
SS134.D;С малочисленным населением, основным занятием которого была торговля, Винланд экспериментировал с туземцами, совсем не такими, как Новая Бургундия или Плантагения. Вскоре были установлены дипломатические отношения между Скандинавией и народами ирокезов, инуитов и кри. Последующие договоры, которые были подписаны, гарантировали земли племен (после некоторых «исправлений» винландскими поселенцами) в обмен на подчинение нордическому престолу и торговую монополию Скандинавии. Это привело бы к росту торговли мехами, а также к влиянию Скандинавии, которая вскоре стала господствовать над всеми Великими озерами. Скандинавские исследователи также часто отправлялись в путешествия вглубь страны, что привело к нанесению на карту большей части Северной Аркадии к 1750 году и появлению народа Ронст.;
145134.A;Интересно...;
SS135.D;Однако рост поселенцев спровоцировал столкновение между Короной и ее колонией. Возвращая больше земель и больше прав, поселенцы часто просили о пересмотре договоров со «скрэлингами», шаг, который корона не стремилась делать из-за влияния, которое она оказывала на Аркадию из-за тех же договоров. С годами ситуация накалялась, и последним ударом стали новые налоги для финансирования немецких войн, приведших к Винландской войне за независимость в 1808 году. Вскоре лоялисты были разгромлены, и племена были вынуждены заключать новые договоры в пользу поселенцев.;
145135.A;Интересно...;
SS136.D;Однако Конфедерация ирокезов обратилась за защитой к новой независимой Бельгии, предоставив Септименам доступ к Великим озерам. Это станет первым шагом военных действий между Винландом и Семью республиками. Первоначально по договору, подписанному в нейтральном Талахаси в 1809 году, границы Конфедерации ирокезов разделились: две трети отошли Винланду, а остальные остались за Семью республиками. Но напряженность продолжалась по мере усиления концепции аркадианства. Наконец, угроза Семи Республик стала слишком большой, чтобы с ней можно было справиться просто дипломатией. Заключив союз с Королевством Плантагении, они объявили войну Семи республикам, спровоцировав Войну двойного союза (1819-1821). Война воспринималась как не что иное, как катастрофа. Отсутствие населения в Винландии оказалось решающим фактором его поражения и потери территории, предусмотренной Эрxхавнским договором.;
145136.A;Интересно...;
SS140.D;Теперь Винланд стоит на распутье. Это самая большая нация в Аркадии, но и менее населенная, и Плантагонцы и Септименцы заинтересованы в том, чтобы получить свою долю Великих озер. Дебаты о ситуации с туземцами с годами усилились, стимулированные открытием колонизации внутренних и северных частей Аркадии, и, возможно, Винланду пора в конечном итоге выбрать судьбу скрелингов. Вдобавок к этой ситуации эмиграция ирокезов с территории Септимена предпочла правление Винландии, а не эксплуатацию Септимана. Более того, аркадианство распространилось на идеологические сферы Винландии, и некоторые уже отстаивают идею о том, что Винландия распространится от одного океана до другого и станет единственной великой державой Аркадии.;
145140.A;Интересно...;
SS140.T;Амазония была впервые исследована испанскими исследователями во время экспедиций Америго Веспуччи и была среди земель, зарезервированных для испанцев по Памплонскому договору. Однако нарушения договора испанцами заставили англо-французов чувствовать себя не связанными им. Первой основанной колонией был Сен-Георгий в месте, которое называлось равноденствием во Франции (потому что на экваторе дни и ночи едва ли длятся примерно в одно и то же время). Поселений было немного, и территория явно не была заселена за пределами прибрежных портов Сент-Джордж и Вифлеем. К 1574 году испанцы и французы договорились о новой границе по реке Амазонке, при этом все восточные и южные территории остались под англо-французской колонизацией.;
SS141.D;Интересно...;
145141.A;История Амазонки;
SS142.D;Новое движение колонизации началось в 1610 году. Привлеченные богатствами флота «Дани» из Перу, многие поселенцы обосновались на северо-восточной оконечности Америги в так называемой «Антарктической Франции» (антарктическая Франция, что означает противоположность арктическому климату). ). Иммиграция туда, усиленная атлантической торговлей, не регулировалась в течение многих лет, Порт-Либерте был основан бретонским пиратом около 1640 года и присоединился к вице-королевству Франции Антарктиды только после строительства королевского форта в заливе. Район оказался пиратским гнездом на целое столетие, кульминацией которого стало то, что некоторые люди называли «золотым веком пиратства», начавшееся во время имперской войны и продолжавшееся с различными успехами до конца века и закончившееся уничтожением пиратов. последний «настоящий пират» Бартоломью Робертс в драке со своим старым другом Оливье Левассером.;
145142.A;Интересно...;
SS143.D;Антарктическую колонизацию спонсировала «La Compagnie de l’Antarctique», основанная в Сен-Мало бретонскими и гайенскими купцами. Решив освоить огромные территории, лишенные человеческого присутствия, они скупили много земель в колониях, создали грандиозные владения с использованием рабочей силы рабов и поселили там множество поселенцев. В отличие от жемчужины короны, которой была Плантагения, Амазония станет свидетелем преимущественно французской и бретонской колонизации и почти без английских поселенцев, а пуритане привлекут людей, бежавших от двойной монархии. Рабство было основным двигателем расширения колонии, ставшей первым производителем сахара во всем мире после 1700 года. Конфликты часто вспыхивали на южной границе с лотарианскими поселенцами, хотя вся территория Атлантиды стала городом обмена между бургундами и англо-американцами. Французская колония.;
145143.A;Интересно...;
SS144.D;Проникновение во внутренние районы было затруднено из-за климата, и только к 1790 году большая часть Амазонии была полностью захвачена и колонизирована. Поселенцы с Востока взяли под свой контроль Гуас и Мон-Диамант, в то время как поселенцы равноденствия заселили Вауру. Война за наследство не вызвала реальных изменений в колонии, и только Эквиноксия встала на сторону во время войны и отправила людей к Чарльзу. Этот поступок был наказан после войны воссоединением двух вице-королевств в Амазонии, управляемой в Порт-Либерте. Небольшая свобода, которую имела Эквиноксия, была потеряна, и Эквиноксиан стал ожесточен правлением монархии.;
145144.A;Интересно...;
SS145.D;Идеи германских войн вспыхнули в Амазонии, но не вызвали настоящих беспорядков, кроме как в Сент-Джорджесе, где Эквиноксианцы были готовы взяться за оружие против угнетателей. Губернатор колонии вел диалог с мятежниками, но в конечном итоге был вынужден уйти в 1825 году. Успех лотарианской независимости и продолжающиеся испано-колумбийские войны только укрепили революционную партию. В Порт-Либерте было созвано собрание для выбора новой Конституции страны. В конце концов, была провозглашена Амазонская Федерация, в которой составляющие республики Равноденствие и Антарктида были равны с точки зрения власти и юрисдикции. Однако размер и население восточной части вскоре позволили политикам не обращать внимания на жителей Эквиноксии. Таким образом, рабство было отменено только в западных частях, в то время как восточные плантаторы сохранили свою рабочую силу.;
145145.A;Интересно...;
FAQ1.T;Извлекая выгоду из гражданской войны в Лотарингии, правительство Амазонки переместило свою армию в Атлантию и интегрировало ее в Федерацию, хотя это требование до сих пор не признано правительством Лотарингии и местным населением. Амазония сейчас находится в критической точке своей истории: Эквиноксианцы смотрят на запад, вверх по Амазонке, чтобы заселить новые земли, но кто знает, какие последствия это может иметь для Великой Колумбии? Антарктические люди теперь смотрят на юг, и идея, подобная аркадианству, распространилась на некоторые политики, «американский идеал». Баланс в стране уже шатается и с потенциальными врагами на Севере и реваншистской диктатурой на Юге, кто знает, что ждет единственную демократию американского континента?;
FAQ1.D;Единая Америга была бы хорошей вещью...;
145110.A;Часто задаваемые вопросы;
145110.B;Вот подборка наиболее часто задаваемых вопросов о моде, чтобы вам не пришлось долго искать решение.;
145110.C;История мира;
145110.E;Военный доступ;
145110.F;Особые случаи;
FAQ2.D;Снижение позора;
145111.A;Я хорошо, спасибо;
FAQ3.D;История Мира расхождений основана на нескольких точках расхождений, которые в основном относятся к 15 веку: герцог Бургундский решает продолжить свою поддержку Плантагенетов в Столетней войне, что привело к тому, что последняя объединила Францию ????и Англию. Личный союз Дании, Норвегии и Швеции выживает и превращается в унитарное государство и объединяет Шотландию со Стюартами, возглавляющими Союз. Изабелла Испанская вышла замуж за португальского принца вместо Фердинанда II. Император Чэнхуа не останавливает исследования Минского Китая, но решает продолжить их с большим рвением, чем раньше. Это шероховатости, и, как вы видите, у многих народов есть своя история. Тех, кто этого не знает, можно найти на форумах, где есть специальная ветка истории DVG.;
145112.A;Хорошо;
FAQ4.D;Военный доступ не является обычным дипломатическим вариантом в DVG. IOTL (In Our Time-Line для тех, кому интересно) Военный доступ было не так легко получить, как в Виктории II. Таким образом, в DVG только повелитель может получить доступ к своим сферам. Это может привести к некоторым проблемам в начале, но в остальной части игры это довольно хорошо с меньшим количеством махинаций.;
145113.A;Хорошо;
FAQ5.D;Богемия и СРИ: СРИ все еще существует в начале, хотя и сильно ослаблена. Богемский игрок может попытаться восстановить имперскую гегемонию, воюя с Бургундией и Скандинавией и удерживая немецких принцев под контролем, и все это до 1848 года. Если им это не удастся, то останется меньший союз в Северной Германии, Эльбская Конфедерация. События двойной монархии: страна разделена на 3 большие группы: англичан, французов и англичан. Цель состоит в том, чтобы выбрать, принять ли одно из двух непринятых или два одновременно. Есть много событий со скрытыми переменными, поэтому, даже если вы не думаете, что это что-то делает, оно все равно делает. Испания и Иберийский союз: Иберийский союз - довольно странная концепция в Дивергенциях, и поэтому его нужно делать силой. Вы должны захватить арагонские территории или подождать, пока они потеряют свои итальянские владения, чтобы появилась Каталония.;
145114.A;Хорошо;
EVTNAME17500;Как вы можете заметить, если вы посмотрите на снижение дурной репутации, есть модификатор под названием «Отсутствие международного кода». Он моделирует тот факт, что в начале не было ни европейского «концерта», ни формального международного договора о том, как должны вести себя государства. Важные изменения в Европе вызовут конгресс, который удалит модификатор, но до этого вы можете завоевать еще немного вещей.;
EVTDESC17500;Хорошо;
EVTOPTA17500;Трудовые союзы;
EVTOPTB17500;Черт, нет, мы не поедем!»\n\nВ одном из наших штатов в последние несколько месяцев наблюдается всплеск социалистической агитации, с момента образования профсоюза в одной из местных мастерских. Мастерская, кажется, подала местный пример другим рабочим местам, и теперь рабочие организуются на каждой фабрике, мастерской и фабрике во всем штате. К правительству обратилась группа обеспокоенных представителей местной элиты, которые призывают центральное правительство направить в провинцию отряды национальной гвардии для обеспечения поддержания порядка.;
EVTNAME17510;Мы не повернём оружие наших солдат против граждан, ради защиты которых они существуют.;
EVTDESC17510;Я полагаю, у нас есть несколько единиц, которые мы могли бы выделить для благого дела...;
EVTOPTA17510;Демонстрация оказалась кислой;
EVTOPTB17510;Крики можно услышать с рабочего места в одном из наших штатов, где социалистические агитаторы обострили непрекращающийся трудовой конфликт. Местные капиталисты возмущены вольностями, которые позволяют себе эти революционеры в отношении того, как, когда и где проповедовать свою революционную идеологию, и рассматривают возможность формирования гражданской гвардии в случае дальнейшего обострения ситуации.;
EVTNAME17520;Мы не будем рекомендовать нашим гражданам формировать рэкет защиты;
EVTDESC17520;Что угодно, лишь бы отогнать красную гидру!;
EVTOPTA17520;Саботаж;
EVTOPTB17520;Фабрика в одном из наших штатов стала объектом умеренной, но дорогостоящей кампании саботажа в течение последних нескольких недель, и местное руководство подозревает, что за это событие ответственен известный социалистический агитатор в этом районе, как и упомянутый джентльмен. известно руководству, что оно не согласилось с недавно принятым решением в отношении внутреннего разделения труда в компании.;
EVTNAME17530;Вы хотите сказать, что уволили кого-то? В этом нет ничего плохого!;
EVTDESC17530;Осудить спекуляции этих толстяков;
EVTOPTA17530;Кровавый удар!;
EVTOPTB17530;Сегодняшняя забастовка в одном из наших штатов, инициированная коммунистами-возмутителями спокойствия и революционерами, была быстро подавлена ??местной полицией. Это событие вызвало массовую негативную реакцию против социалистического движения в штате, поскольку местные фермеры и крестьяне воспринимают красную идеологию как категорически противоположную традициям и истории цивилизации в целом и, что более важно, $COUNTRY$.;
EVTNAME17540;Будем надеяться, что на этом и закончится этот революционный лепет.;
EVTDESC17540;Но.. бедственное положение рабочих? Эксплуатация правящими классами?;
EVTOPTA17540;Удар сочувствия!;
EVTOPTB17540;Рабочие механического цеха в одном из наших штатов объявили забастовку, протестуя против всевозможных бед, реальных или предполагаемых, в обществе в целом и на рабочем месте. Однако бесконечно хуже, чем несколько рыжебородых, взявших несколько выходных, то, что многие другие рабочие со всего штата присоединились к ним в общегосударственной забастовке сочувствия, в результате чего производительный двигатель штата перемалывается до более или менее менее мгновенная остановка. Возможно, придется применить суровые методы, чтобы разрешить эту небольшую ситуацию.;
EVTNAME17550;Время на нашей стороне. Давайте подождем их с расплывчатыми обещаниями, но почти без действий.;
EVTDESC17550;Сократить распространение в местной прессе любых газет, подозреваемых в сотрудничестве;
EVTOPTA17550;$COUNTRY_ADJ$ Красная Звезда;
EVTOPTB17550;Новая ежедневная газета, не стесняясь своих политических взглядов, была включена в $CAPITAL$, $COUNTRY_ADJ$ Красная Звезда, официальный партийный орган $COUNTRY_ADJ$ социалистической партии. «Красная Звезда» публикует глубоко трогательные социальные комментарии, редко обходящиеся без красочных небольших репортажей об условиях труда мужчин и женщин по всему миру. Красная Звезда выступает за международную солидарность, права рабочих, профсоюзы и классовую борьбу на широкой, демократической и социалистической основе.;
EVTNAME17560;Я предложу в клубе начать подписку. Джин, кто-нибудь?;
EVTDESC17560;Что это за... ужасный лист бумаги... обертка от Fish & Chips?;
EVTOPTA17560;Первомайский парад;
EVTOPTB17560;Красные знамена развеваются на ветру, и люди всех возрастов выходят посмотреть, как социалисты, коммунисты, члены профсоюзов и рабочие всех возрастов объединяются в марше протеста по всей стране в память о гибели нескольких демонстрантов в Чикаго. Резня на Хеймаркете в 1886 году. Ежегодно повторяющееся празднование почти в каждом городе $COUNTRY$, воплощение этого года было особенно успешным в одном из наших штатов, где можно ожидать подъема социалистической активности и сознания.;
EVTNAME17570;Поминать бомбометателей и убийц в одном из *моих* штатов?;
EVTDESC17570;Естественно, мы поддерживаем это прекрасное проявление международной солидарности между рабочими.;
EVTOPTA17570;Вперед!;
EVTOPTB17570;Экстра экстра! Грандиозная забастовка в $CAPITAL$. Рабочие требуют повышения заработной платы. Экстра экстра! Грандиозная забастовка в...'\n\nСоциалистическая газета "Вперед!" был опубликован в $CAPITAL$. Он сообщает о различных забастовках, текущих новостях и социалистических движениях в политике как внутри страны, так и за рубежом.;
EVTNAME17580;А еще говорят, что в СМИ нет левого уклона... пффф.;
EVTDESC17580;Интересно, я уверен;
EVTOPTA17580;Разрушение Союза;
EVTOPTB17580;В курятнике лисы, коровы в кукурузе.\nПрофсоюзы разгромлены,\nих гордые красные знамена порваны\n- Стив Эрл\n\nКапиталисты в одном из наших штатов начали использовать тактику уничтожения профсоюзов, чтобы положить конец тому, что они называют «бичом организованного труда». Используя профессиональных диверсантов, чтобы проникнуть под кожу государственного рабочего движения, капиталисты надеются посеять недовольство среди рядовых профсоюзов.;
EVTNAME17590;Отличная инициатива, которой можно только поаплодировать!;
EVTDESC17590;Они должны прекратить ущемлять организационные свободы;
EVTOPTA17590;Блокировка!;
EVTOPTB17590;Капиталисты в одном из наших штатов объявили локаут после периода обострения трудовых конфликтов в этом районе. Рабочие были проинформированы руководством о том, что никто не может вернуться на работу, в то время как профсоюзные симпатии среди занятых по-прежнему высоки. Местная полиция поддержала этот шаг, сославшись на продолжительную серию беспорядков на фабрике, некоторые из которых даже граничили с саботажем.;
EVTNAME17600;Да? У нас торговля, войны, производство, а вы мне про организованный труд?;
EVTDESC17600;Привет! Это неконституционно!;
EVTOPTA17600;Черные флаги;
EVTOPTB17600;Социалистическая партия в одном из наших государств недавно начала претерпевать явные метаморфозы под влиянием своего молодого харизматичного лидера. Хотя партия по-прежнему придерживается нескольких основных принципов социализма, таких как акцент на важной роли государства в обществе, она также начала принимать агрессивную и напыщенную форму радикального национализма. В штаб-квартире социалистической партии в одном из наших штатов начали развеваться черные флаги, и, несмотря на префx «прото-», ясно, что мы наблюдаем формирование радикально нового фронта в государственной политике: фашизма.;
