;;
IS_IN_REGION;находится в регионе;
embrace_greeks_YUG_title;Объятия греков;
embrace_greeks_YUG_desc;Греки не являются истинно славянской культурой и, как известно, расходятся с остальными славянами. Однако при достаточном усилии их более полная интеграция в югославскую культуру и правительство вполне возможна. Возможно, это может даже означать будущее мира между нашими народами.;
embrace_albanians_YUG_title;Обнять албанцев;
embrace_albanians_YUG_desc;Албанцы не совсем славянская культура и, как известно, расходятся с остальными славянами. Однако при достаточном усилии их более полная интеграция в югославскую культуру и правительство вполне возможна. Возможно, это может даже означать будущее мира между нашими народами.;
end_of_yugoslavia_bulgaria_title;Конец Югославии;
end_of_yugoslavia_bulgaria_desc;Славянский союз распался. Пришло время довести его до конца.;
end_of_yugoslavia_greece_title;Конец Югославии;
end_of_yugoslavia_greece_desc;Славянский союз распался. Пришло время довести его до конца.;
zanzibar_sale_title;Продать Занзибар;
zanzibar_sale_desc;Побережье Занзибара почти ничего не стоит для нас, но может быть ценным для соседней колониальной администрации в Танганьике. Мы должны подумать о продаже его с хорошей прибылью.;
mombasa_sale_title;Продать Момбаса;
mombasa_sale_desc;Побережье Момбасы почти бесполезно для нас, но может представлять ценность для соседней колониальной администрации в Кении. Мы должны подумать о продаже его с хорошей прибылью.;
create_cambodian_protectorate_title;Создать камбоджийский протекторат;
create_cambodian_protectorate_desc;Опасаясь вторжения сиамцев, камбоджийцы попросили нас позволить им присоединиться к Дайвьет под защитой нашей нации.;
create_laos_protectorate_title;Создать лаосский протекторат;
create_laos_protectorate_desc;Лаосцы не смогут противостоять своим гораздо более крупным соседям… не без нашей помощи. Мы должны подойти к ним и предложить нашу защиту. Цивилизованное дело.;
siamese_border_treaty_title;Договор о сиамской границе;
siamese_border_treaty_desc;Сиам включает в свои границы ряд покоренных народов: лаосцев, кхмеров и вьетнамцев. Недавний инцидент открыл для нас возможность: потребовать, чтобы Сиам освободил эти земли, которые мы затем можем включить в состав наших владений в Индокитае, или столкнуться с нашим гневом.;
unequal_treaty_DAI_title;Ханойский договор;
unequal_treaty_DAI_desc;Вьетнамцы находятся в тяжелом положении. Они не могут продержаться намного дольше. Возможно, мы должны предложить им возможность сесть за стол переговоров и положить конец этой войне между нами… на условиях, которые, конечно, очень выгодны для нас.;
organize_laos_title;Организовать Лан Ксанга;
organize_laos_desc;Мы должны организовать лаосские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, при доминировании наших доброжелательных колониальных администраторов.;
form_french_indochina_title;Французский Индокитай;
form_french_indochina_desc;Когда в Сайгоне сформировалось колониальное правительство, французские администраторы посоветовали преобразовать регион в полноценный департамент — явно с расчетом на распространение французского колониального господства на соседей в Юго-Восточной Азии.;
annex_fiji_title;Приложение Фиджи;
annex_fiji_desc;Австралийские поселенцы, купившие землю на острове Фиджи, постепенно проникли во двор короля Какобау. Так и случилось, что недавно, когда чрезмерные траты короля обременили его королевство значительными долгами, поселенцы предложили обсудить условия, на которых британское правительство погасит долг и аннексирует остров как новую колонию.;
invest_in_irish_title;Инвестируйте в ирландцев;
invest_in_irish_desc;Чтобы довести ирландцев до уровня неотъемлемой части Британской империи, потребуются большие инвестиции — не только для обновления приходящих в упадок институтов, веками управлявших островом, но и для того, чтобы положить конец этой системе. отсутствующих землевладельцев, которые так пронизывают бюрократию острова и делают ее образцом неэффективности. Только после того, как это будет сделано, ирландцы могут начать интегрироваться в качестве равноправных субъектов в соответствии с британским законодательством.;
irish_integration_title;Ирландская интеграция;
irish_integration_desc;Теперь, когда ирландцы являются равноправными субъектами британского законодательства, можно предпринять шаги для их более полной интеграции в общую британскую культуру.;
embrace_czech_minority_title;Примите чешское меньшинство;
embrace_czech_minority_desc;Мы примем наших чешских граждан и возвысим их до статуса, разделяемого венграми.;
embrace_slovene_minority_title;Примите словенское меньшинство;
embrace_slovene_minority_desc;Мы примем наших словенских граждан и возвысим их до статуса, разделяемого венграми.;
embrace_croat_minority_title;Примите хорватское меньшинство;
embrace_croat_minority_desc;Мы примем наших хорватских граждан и возвысим их до статуса, разделяемого венграми.;
embrace_polish_minority_title;Примите польское меньшинство;
embrace_polish_minority_desc;Мы примем наших польских граждан и возвысим их до статуса, разделяемого венграми.;
recognize_the_csa_title;Официально признать CSA;
recognize_the_csa_desc;Мы расширим официальное признание Конфедеративных Штатов Америки, открыв посольство в их столице и официально установив отношения. Янки, конечно, не одобрят.;
right_to_secede_title;Право на отделение;
right_to_secede_desc;Гражданская война закончилась, и, несмотря на наши пожелания, Соединенные Штаты разделены. Наш единственный вариант — расширить официальное признание права юга на отделение. Если мы не можем жить под одной крышей, мы будем добрыми соседями, а может быть, и братьями по оружию. Да поможет нам всем Бог.;
second_declaration_of_independence_title;Вторая Декларация независимости;
second_declaration_of_independence_desc;Как это делали до нас отцы-основатели, так и мы должны отстаивать наши суверенные права и не позволять интересам Севера превалировать над тем, что Юг считает правильным и уместным в наших глазах. Мы будем свободны, и пусть ни один свободный человек не говорит иначе.;
recognize_the_fsa_title;Официально признать FSA;
recognize_the_fsa_desc;Мы расширим официальное признание Свободных Штатов Америки, открыв посольство в их столице и официально установив отношения. США, конечно, не одобрят.;
FSA_right_to_secede_title;Право на отделение;
FSA_right_to_secede_desc;Гражданская война закончилась, и, несмотря на наши пожелания, Соединенные Штаты разделены. Наш единственный вариант — расширить официальное признание права севера на отделение. Если мы не можем жить под одной крышей, мы будем добрыми соседями, а может быть, и братьями по оружию. Да поможет нам всем Бог.;
FSA_second_declaration_of_independence_title;Вторая Декларация независимости;
FSA_second_declaration_of_independence_desc;Как делали до нас отцы-основатели, так и мы должны отстаивать наши суверенные права и не позволять интересам Юга превалировать над тем, что Север считает правильным и уместным в наших глазах. Мы будем свободны, и пусть ни один свободный человек не говорит иначе.;
the_great_game_makran_title;Большая игра приходит в Макран;
the_great_game_makran_desc;Мы должны усилить наше господство в Средней Азии. Это означает, что Макран должен быть подчинен как британская колония, иначе мы рискуем потерять его из-за российской агрессии в регионе.;
the_great_game_panjab_title;Большая игра приходит в Пенджаб;
the_great_game_panjab_desc;Мы должны усилить наше господство в Средней Азии. Это означает, что Пенджаб должен быть подчинен как британская колония, иначе мы рискуем потерять его из-за российской агрессии в регионе.;
the_great_game_sindh_title;Большая игра приходит в Синд;
the_great_game_sindh_desc;Мы должны усилить наше господство в Средней Азии. Это означает, что Синд должен быть подчинен как британская колония, иначе мы рискуем потерять его из-за российской агрессии в регионе.;
annex_mayotte_title;Приложение Майотта;
annex_mayotte_desc;Правитель небольшого острова Маоре, который французские торговцы окрестили «Майоттой», является примитивным султаном, который только в последние годы порвал с малагасийским правлением. Он подал прошение французскому правительству о статусе протектората, явно предпочитая цивилизованное правление правлению своих соседей.;
claim_savoy_desc;В то время как мы надеялись однажды восстановить контроль над Савойей дипломатическим путем, с образованием Италии, что теперь невозможно. Мы должны заявить права на Савойю и освободить там французов силой оружия.;
reclaim_poland_GER_title;Вернуть Польшу;
reclaim_poland_GER_desc;Наши земли в Польше были несправедливо отобраны у нас. Настало время вернуть эти земли во имя Германии!;
reclaim_poland_RUS_title;Вернуть Польшу;
reclaim_poland_RUS_desc;Наши земли в Польше были несправедливо отобраны у нас. Пришло время вернуть эти земли во имя России!;
appoint_von_bismarck_title;Назначить Отто фон Бисмарка;
appoint_von_bismarck_desc;Нашему народу нужен великий государственный деятель в качестве канцлера, и у нас есть именно такой человек. Отто фон Бисмарк в настоящее время является первым министром страны, но, будучи назначенным лидером нашей нации, он мог видеть ее трансформацию на мировой арене.;
otto_von_bismarck;Отто фон Бисмарк;
otto_von_bismarck_desc;Нынешний канцлер нашей страны фон Бисмарк — выдающийся государственный деятель… возможно, один из лучших, которых когда-либо знала наша страна.;
reclaim_alsace_lorraine_title;Вернуть Эльзас-Лотарингию;
reclaim_alsace_lorraine_desc;Соседняя территория Эльзас-Лотарингия населена немцами и по праву принадлежит Германии. Мы отказались от своих законных притязаний на него, но, может быть, пришло время нам вновь заявить о своих правах и освободить живущих там немцев?;
purchase_spanish_pacific_title;Покупка испанского Тихоокеанского;
purchase_spanish_pacific_desc;Поскольку испанцы потеряли свои колониальные объекты в Маниле, их владения в Тихом океане трудно управлять и они невероятно дороги для них. Учитывая, что интересы нашего правительства заключаются в том, чтобы закрепиться на Тихом океане, нам, пожалуй, следует обратиться к ним с мыслью о покупке этих островов для себя.;
demand_retreat_from_india;Требовать отступления от Индии;
demand_retreat_from_india_desc;Большая часть Индии была вырвана из-под британского контроля. Перед нами стоит выбор: либо потребовать их отступления с субконтинента, освободив всех своих вассалов и присоединенные земли, либо продолжить нашу войну и надеяться на достижение текущих целей. Отступление британцев может привести к хаосу, и мы, конечно, не достигнем целей войны, которые у нас есть, но это, по крайней мере, выведет британцев из уравнения на годы вперед.;
move_capital_to_delhi_title;Перенести столицу в Дели;
move_capital_to_delhi_desc;Теперь, когда Индия объединилась, нам следует подумать о переносе столицы в более центральный и традиционный город. Дели: сердце Индии.;
ganghwa_treaty_title;Канхваский договор;
ganghwa_treaty_desc;С нашей превосходящей огневой мощью над корейцами можно будет заблокировать их согласие на наши требования.;
iwakura_mission_title;Iwakura Mission;
iwakura_mission_desc;Теперь, когда мы стали силой, с которой нужно считаться, западные страны не могут игнорировать нас. Возникла идея послать дипломатическую миссию на Запад, чтобы не только попытаться пересмотреть неравноправные договоры, навязанные нашей стране в более слабые времена, но и узнать больше об их путях и помочь в нашей собственной модернизации.;
meiji_constitution_title;Конституция Мэйдзи;
meiji_constitution_desc;После исчерпывающего изучения западных демократических методов японские ученые остановились на методе правления, при котором император будет председательствовать на имперском сейме, избираемом народом и при этом сохраняющем как имперскую власть, так и наши традиции. Они считают, что это лучший способ для Японии перейти в современную эпоху.;
begin_line_of_advantage_title;Линия преимущества;
begin_line_of_advantage_desc;Концепция riekisen, или «линия преимущества», означает, что мы должны распространить японское влияние за пределы наших национальных границ, чтобы обеспечить нашу безопасность. Это означает обращение всех японских вооруженных сил, да и всего нашего народа, к идее иностранного завоевания и славы.;
line_of_advantage;Линия преимущества;
line_of_advantage_desc;Концепция riekisen, или «линия преимущества», означает, что мы должны распространить японское влияние за пределы наших национальных границ, чтобы обеспечить нашу безопасность. Это означает обращение всех японских вооруженных сил, да и всего нашего народа, к идее иностранного завоевания и славы.;
refuse_line_of_advantage_title;Путь прогресса;
refuse_line_of_advantage_desc;Вместо сосредоточения внимания на военной мощи и завоеваниях безопасность Японии должна обеспечиваться приверженностью техническому прогрессу и реформам. Мы должны сравняться с западными державами, и быстро, иначе они обязательно воспользуются преимуществом и обнаружат, что Япония совершенно не готова.;
no_line_of_advantage;Путь прогресса;
no_line_of_advantage_desc;Вместо сосредоточения внимания на военной мощи и завоеваниях безопасность Японии должна обеспечиваться приверженностью техническому прогрессу и реформам. Мы должны сравняться с западными державами, и быстро, иначе они обязательно воспользуются преимуществом и обнаружат, что Япония совершенно не готова.;
annex_korea_title;Приложение Корея;
annex_korea_desc;Сохранение независимости Кореи обходится слишком дорого. Если мы хотим сохранить «линию преимущества», мы должны раздвинуть наши границы далеко за пределы их нынешней сферы. Корея должна быть превращена в протекторат Империи, как для ее собственного, так и для нашего блага.;
claim_korea_title;Заявить права на Корею;
claim_korea_desc;Поскольку Корея находится под иностранным управлением, наша нация чувствует угрозу. «Линия преимущества» означает, что защита наших границ означает расширение нашего влияния за их пределы, и, таким образом, мы должны претендовать на Корейский полуостров и вырвать его у тех, кто держит его в своих руках — конечно, во имя корейской свободы. .;
order_to_expel_barbarians_title;Приказ об изгнании варваров;
order_to_expel_barbarians_desc;С момента восхождения сёгуна Токугава роль Императора была ограничена ролью подставного лица. Мы ведем Японию, но мы этого не делаем. В последнее время лидерство сёгуна оказалось под вопросом. Его растущая неспособность обращаться с иностранцами таким образом, чтобы показать какую-либо манеру лидерства, вынуждает Императора действовать - с разрешения Сёгуна или без него. Мы отправим призыв к людям от нашего имени, потребовав, чтобы они восстали и изгнали чужеземцев, которых не будет сёгун.;
peace_with_the_emperor_title;Мир с императором;
peace_with_the_emperor_desc;С момента прихода к власти сёгуна Токугава Император оставался подставным лицом. Несмотря на это, он является лидером японского народа и время от времени выражал недовольство нашим собственным положением как правителя Японии. Это вызвало конфликт, и если мы достигнем точки, в которой наши позиции не так уж различаются — и действительно, Император доволен нашей способностью править, возможно, мы сможем положить конец этому конфликту раз и навсегда.;
unite_the_daimyos_title;Объедините даймё;
unite_the_daimyos_desc;Когда даймё находятся под нашим полным господством, мы сможем полностью поставить их под контроль правительства. Разделения, поддерживаемые системой хань, ослабляют нас в целом — сёгунат должен быть сильным и единым, если он хочет двигаться вперед как мировая держава.;
treaty_of_shimonoseki_title;Treaty of Shimonoseki;
treaty_of_shimonoseki_desc;Когда китайское сопротивление рушится, мы можем получить преимущество, а именно остров Формоза и репарации, не говоря уже о доказательстве нашего собственного превосходства в конфликте.;
anglo_japanese_alliance_title;Англо-японский союз;
anglo_japanese_alliance_desc;Имея общих врагов среди великих держав, возможно, будет лучше, если Британская империя и наша нация будут работать вместе.;
austrian_form_south_german_confederation2_title;Станьте Южногерманской Конфедерацией;
austrian_form_south_german_confederation2_desc;Хотя Германия не была объединена до провозглашения Германской империи после франко-прусской войны, рост национализма в 19 веке означал, что объединение было запланировано задолго до этого, и Франкфуртское собрание 1848 года было важным предшественником. Достигнув господствующего положения среди южногерманских государств, мы можем образовать Южногерманскую конфедерацию.;
austrian_form_south_german_confederation_title;Создать Южно-Германскую Конфедерацию;
austrian_form_south_german_confederation_desc;Имея наше господствующее положение над южногерманскими землями, мы можем создать Южногерманскую Конфедерацию — союз, который будет находиться под нашим полным контролем и будет более полезным союзником, чем нации по отдельности.;
mediate_belgian_independence_title;Посредник за независимость Бельгии;
mediate_belgian_independence_desc;Хотя де-факто независимость Бельгии от Нидерландов была установлена ??силой оружия во время бельгийской революции 1831 года, она не была подтверждена де-юре Нидерландами, и технически между двумя странами все еще существует состояние войны. Возникла идея, что Британская империя должна вмешаться и выступить посредником в урегулировании, потребовав от голландцев отказаться от своих претензий в обмен на гарантии независимости Бельгии и контроля над Люксембургом. Маловероятно, что, когда за столом переговоров державы Европы, голландцы откажутся.;
organize_libya_TUR_title;Организовать Ливию;
organize_libya_TUR_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
reorganize_libya_title;Требовать Ливию;
reorganize_libya_desc;Теперь, когда мы завладели этой африканской колонией, мы должны реорганизовать ее структуру, чтобы сделать ее действительно частью нашей большой колониальной администрации.;
organize_algeria_title;Организовать Алжир;
organize_algeria_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_uganda_title;Организовать Уганду;
organize_uganda_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_zanzibar_title;Организовать Занзибар;
organize_zanzibar_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_botswana_title;Организовать Бечуаналенд;
organize_bostwana_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_sudan_title;Организовать Судан;
organize_sudan_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_ghana_title;Организовать Гану;
organize_ghana_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_mauretania_title;Организовать Мавретанию;
organize_mauretania_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
organize_dahomey_title;Организовать Дагомею;
organize_dahomey_desc;Мы должны организовать африканские колонии так, чтобы они лучше отражали как местную структуру, так и создали возможность для автономного правления — конечно, во власти наших доброжелательных колониальных администраторов.;
move_capital_to_accra_title;Перенести столицу в Аккру;
move_capital_to_accra_desc;Аккра обеспечивает лучшую столицу для нашей страны - мы должны немедленно переместить туда правительство.;
convention_of_peking_title;Пекинская конвенция;
convention_of_peking_desc;После Нерчинского договора (1689 г.) Российская империя признала реку Айгунь и Становые горы естественными границами между Россией и Китаем. Однако многие в правительстве считают, что в наших интересах получить доступ к южному порту на Японском море, а именно к китайскому городу Хайшенвай. Учитывая, что китайцы едва контролируют свои северо-восточные провинции, похоже, мы имеем право вести переговоры об их контроле… и сейчас, когда их состояние беспорядков, самое подходящее время, чтобы приблизиться к ним.;
peking_convention_TPG_title;Пекинская конвенция;
peking_convention_TPG_desc;После Нерчинского договора (1689 г.) Российская империя признала реку Аргунь и Становые горы естественными границами между Россией и Китаем. В середине 19 века русские выйдут за эту границу, чтобы захватить обширные земли между Становыми горами и рекой Амур. Позднее западные союзники завершили Вторую опиумную войну, сжег летние дворцы китайского императора и вошли в Пекин. Хитрый генерал-майор по имени Николай Игнатьев смог убедить китайцев, что только поддержка России заставит союзников эвакуировать Пекин. Платой за эту поддержку стала Пекинская конвенция, подтвердившая завоевания Муравьева и, кроме того, уступившая России территорию между рекой Уссури и Тихим океаном. Таким образом, Россия получила около 350 000 квадратных миль территории без единого выстрела.;
mongolian_protectorate_title;Монгольский протекторат;
mongolian_protectorate_desc;Наше влияние в Монголии таково, что мы в состоянии оторвать нацию от китайцев и поставить ее под свой контроль. Они были бы нашими вассалами, пользуясь защитой от притязаний Китая на свою землю.;
valparaiso_harbor_title;Жемчужина Тихого океана;
valparaiso_harbor_desc;Вальпараисо стал обязательной остановкой для судов, пересекающих Атлантический и Тихий океаны. В своей роли крупного морского порта Вальпараисо принимает иммигрантов из многих европейских стран, но это может измениться, если откроется новый маршрут.;
annex_easter_island_title;Приложение Остров Пасхи;
annex_easter_island_desc;Коренное население острова Пасхи за последние годы пережило немало опустошений, от нападений перуанских пиратов до эпидемии туберкулеза. Один колонист уже несколько лет держит там овцеводческое хозяйство и недавно предложил продать его нашему правительству. Учитывая, что его ранчо занимает большую часть острова, мы имеем полное право требовать суверенитета над ним.;
declare_neutrality_title;Объявить швейцарский нейтралитет;
declare_neutrality_desc;Швейцарцев мало интересуют войны в Европе.;
abandon_neutrality_title;Отказаться от швейцарского нейтралитета;
abandon_neutrality_desc;Мощь швейцарской армии такова, что мы без труда можем дать отпор нашим соседям. Наша политика нейтралитета больше не нужна.;
violate_neutrality_title;Нарушить швейцарский нейтралитет;
violate_neutrality_desc;Швейцарцы, возможно, объявили себя «нейтральными», но если они считают, что это остановит нас — если они полагают, что нас остановит мнение любого из их союзников, — тогда они жестоко ошибаются.;
build_addis_ababa_title;Построить Аддис-Абебу;
build_addis_ababa_desc;Основанный в 1886 году императором Менеликом II, Аддис-Абеба станет столицей Эфиопии и местом расположения Императорского дворца.;
eth_mission_to_cairo_title;Миссия в Каир;
eth_mission_to_cairo_desc;Напряженные отношения между Эфиопией и Египтом должны прекратиться. У каждого из нас есть свои земли, и нам действительно незачем воевать. В худшем случае продолжение конфликта сделает обе наши страны уязвимыми для эксплуатации иностранными державами.;
belize_purchase_title;Покупка Белиза;
belize_purchase_desc;Мы заинтересованы в покупке Белиза у Великобритании и интеграции его в Соединенные Штаты Центральной Америки. Таким образом, мы отправили делегатов за границу в Лондон и в настоящее время ожидаем ответа.;
form_the_ikhwan_title;Союз с ваххабитами;
form_the_ikhwan_desc;Союз с ваххабитским религиозным орденом среди бедуинов даст нам именно ту силу, которая нужна для объединения Аравии под нашим правлением.;
become_flanders_title;Стать Фландрией;
become_flanders_desc;Без валлонцев пришло время снова править фламандцам.;
become_wallonia_title;Станьте Валлонией;
become_wallonia_desc;Без фламандцев пришло время снова поднять валлонский флаг.;
become_belgium_FLA_title;Объедините Бельгию;
become_belgium_FLA_desc;Фламандцы и валлонцы могут воссоединиться под единым флагом. Да здравствует Бельгия!;
become_belgium_WLL_title;Объедините Бельгию;
become_belgium_WLL_desc;Фламандцы и валлонцы могут воссоединиться под единым флагом. Да здравствует Бельгия!;
colonial_destiny_title;Колониальная судьба;
colonial_destiny_desc;Судьба бельгийского народа - цивилизовать последние оставшиеся дикие земли мира. В Африку!;
self_strengthening_movement;Самоусиливающееся движение;
self_strengthening_movement_title;Самоусиливающееся движение;
self_strengthening_movement_desc;Мы не можем отступать перед западными странами. Мы должны сделать шаг к модернизации, чего бы это ни стоило!;
ultimatum_to_portugal_title;Отправить ультиматум Португалии;
ultimatum_to_portugal_desc;Британское правительство заинтересовано в расширении наших колоний на юге Африки на север. Это будет невозможно, если португальцы осуществят свои мечты о «Розовой карте», соединив Анголу и Мозамбик. Мы должны выступить с требованием или столкнуться с возможностью сдачи Центральной Африки другим державам.;
treaty_of_nanking_title;Нанкинский договор;
treaty_of_nanking_desc;Используя наше новое влияние на китайское правительство, мы можем заставить их сесть за стол переговоров и добиться торговых и территориальных уступок, не последней из которых будет уступка Гонконга, ценного порта в южных морях.;
simla_convention_title;Конвенция в Симле;
simla_convention_desc;Теперь, когда Тибет стал свободной страной, нашему правительству может быть благоразумно выступить вперед и договориться. Тибет может быть полезным союзником, и все, что ослабляет китайское правительство, нельзя упускать.;
