100050002.A;Я уверен, что он идеально подойдет для этой работы.;
100050003.T;Появление великого лидера;
100050003.D;Наш новый Великий Лидер — одаренный ученый;
100050003.A;Я уверен, что он идеально подойдет для этой работы.;
100050004.T;Появление великого лидера;
100050004.D;Наш новый Великий Лидер — популярная фигура;
100050004.A;Я уверен, что он идеально подойдет для этой работы.;
100050005.T;Появление великого лидера;
100050005.D;Наш новый Великий Лидер — аристократ старой гвардии.;
100050005.A;Я уверен, что он идеально подойдет для этой работы.;
100050006.T;Появление великого лидера;
100050006.D;Наш новый Великий Лидер — генерал в отставке.;
100050006.A;Я уверен, что он идеально подойдет для этой работы.;
100050007.T;Появление великого лидера;
100050007.D;Наш новый Великий Лидер - старый адмирал;
100050007.A;Я уверен, что он идеально подойдет для этой работы.;
100050008.T;Появление великого лидера;
100050008.D;Наш новый Великий Лидер, эм, весьма неортодоксален...;
100050008.A;Я уверен, что он идеально подойдет для этой работы.;
100050009.T;Появление великого лидера;
100050009.D;Наш новый Великий Лидер — стойкий традиционалист.;
100050009.A;Я уверен, что он идеально подойдет для этой работы.;
100050010.T;Появление великого лидера;
100050010.D;Наш новый Великий Вождь — прекрасный государственный деятель.;
100050010.A;Я уверен, что он идеально подойдет для этой работы.;
100050014.T;Появление великого лидера;
100050014.D;Наш новый Великий Лидер — блестящий администратор;
100050014.A;Я уверен, что он идеально подойдет для этой работы.;
100050015.T;Появление великого лидера;
100050015.D;Наш новый Великий Лидер — настоящий провидец;
100050015.A;Я уверен, что он идеально подойдет для этой работы.;
100050022.T;Появление великого лидера;
100050022.D;Наш новый Великий Лидер - старый профсоюзный деятель.;
100050022.A;Я уверен, что он идеально подойдет для этой работы.;
100050017.T;Появление великого лидера;
100050017.D;Наш новый Великий Вождь — настоящий аристократ;
100050017.A;Я уверен, что он идеально подойдет для этой работы.;
100050018.T;Появление великого лидера;
100050018.D;Наш новый Великий Лидер твердо придерживается дисциплины. Очень твердо.;
100050018.A;Я уверен, что он идеально подойдет для этой работы.;
100050019.T;Появление великого лидера;
100050019.D;Наш новый Великий Лидер — чудо эффективности;
100050019.A;Я уверен, что он идеально подойдет для этой работы.;
100050020.T;Появление великого лидера;
100050020.D;Наш новый Великий Лидер – настоящий патриот;
100050020.A;Я уверен, что он идеально подойдет для этой работы.;
100050050.T;Появление великого лидера;
100050050.D;Наш новый Великий Лидер — сварливый экономист.;
100050050.A;Я уверен, что он идеально подойдет для этой работы.;
100050120.T;Диктатор убит!;
100050120.D;Наш Великий Вождь убит!;
100050120.A;Трагедия!;
100060001.T;Назначен первый министр;
100060001.D;Наш новый первый министр – опытный дипломат.;
100060001.A;Я уверен, что он идеально подойдет для этой работы.;
100060002.T;Назначен первый министр;
100060002.D;Наш новый первый министр — успешный промышленник;
100060002.A;Я уверен, что он идеально подойдет для этой работы.;
100060003.T;Назначен первый министр;
100060003.D;Наш новый первый министр — одаренный ученый;
100060003.A;Я уверен, что он идеально подойдет для этой работы.;
100060004.T;Назначен первый министр;
100060004.D;Наш новый первый министр — популярная фигура;
100060004.A;Я уверен, что он идеально подойдет для этой работы.;
100060006.T;Назначен первый министр;
100060006.D;Наш новый первый министр - генерал в отставке.;
100060006.A;Я уверен, что он идеально подойдет для этой работы.;
100060007.T;Назначен первый министр;
100060007.D;Наш новый первый министр - старый адмирал;
100060007.A;Я уверен, что он идеально подойдет для этой работы.;
100060008.T;Назначен первый министр;
100060008.D;Наш новый первый министр, э-э, весьма неортодоксален...;
100060008.A;Я уверен, что он идеально подойдет для этой работы.;
100060010.T;Назначен первый министр;
100060010.D;Наш новый первый министр — прекрасный государственный деятель.;
100060010.A;Я уверен, что он идеально подойдет для этой работы.;
100060011.T;Назначен первый министр;
100060011.D;Наш новый первый министр - тихий гений;
100060011.A;Я уверен, что он идеально подойдет для этой работы.;
100060012.T;Назначен первый министр;
100060012.D;Наш новый первый министр твердо верит в реформы;
100060012.A;Я уверен, что он идеально подойдет для этой работы.;
100060013.T;Назначен первый министр;
100060013.D;Наш новый первый министр - врожденный недоумок.;
100060013.A;Я уверен, что он идеально подойдет для этой работы.;
100060014.T;Назначен первый министр;
100060014.D;Наш новый первый министр — блестящий администратор;
100060014.A;Я уверен, что он идеально подойдет для этой работы.;
100060015.T;Назначен первый министр;
100060015.D;Наш новый первый министр — настоящий провидец;
100060015.A;Я уверен, что он идеально подойдет для этой работы.;
100060016.T;Назначен первый министр;
100060016.D;Боюсь, в нашем новом первом министре нет ничего особенного.;
100060016.A;Я уверен, что он идеально подойдет для этой работы.;
100070001.T;Назначен первый министр;
100070001.D;Наш новый первый министр – опытный дипломат.;
100070001.A;Я уверен, что он идеально подойдет для этой работы.;
100070003.T;Назначен первый министр;
100070003.D;Наш новый первый министр — одаренный ученый;
100070003.A;Я уверен, что он идеально подойдет для этой работы.;
100070005.T;Назначен первый министр;
100070005.D;Наш новый первый министр - аристократ старой гвардии;
100070005.A;Я уверен, что он идеально подойдет для этой работы.;
100070006.T;Назначен первый министр;
100070006.D;Наш новый первый министр - генерал в отставке.;
100070006.A;Я уверен, что он идеально подойдет для этой работы.;
100070007.T;Назначен первый министр;
100070007.D;Наш новый первый министр - старый адмирал;
100070007.A;Я уверен, что он идеально подойдет для этой работы.;
100070008.T;Назначен первый министр;
100070008.D;Наш новый первый министр, э-э, весьма неортодоксален...;
100070008.A;Я уверен, что он идеально подойдет для этой работы.;
100070009.T;Назначен первый министр;
100070009.D;Наш новый первый министр — стойкий традиционалист.;
100070009.A;Я уверен, что он идеально подойдет для этой работы.;
100070010.T;Назначен первый министр;
100070010.D;Наш новый первый министр — прекрасный государственный деятель.;
100070010.A;Я уверен, что он идеально подойдет для этой работы.;
100070011.T;Назначен первый министр;
100070011.D;Наш новый первый министр - тихий гений;
100070011.A;Я уверен, что он идеально подойдет для этой работы.;
100070013.T;Назначен первый министр;
100070013.D;Наш новый первый министр - врожденный недоумок.;
100070013.A;Я уверен, что он идеально подойдет для этой работы.;
100070014.T;Назначен первый министр;
100070014.D;Наш новый первый министр — блестящий администратор;
100070014.A;Я уверен, что он идеально подойдет для этой работы.;
100070015.T;Назначен первый министр;
100070015.D;Наш новый первый министр — настоящий провидец;
100070015.A;Я уверен, что он идеально подойдет для этой работы.;
100070016.T;Назначен первый министр;
100070016.D;Боюсь, в нашем новом первом министре нет ничего особенного.;
100070016.A;Я уверен, что он идеально подойдет для этой работы.;
100070017.T;Назначен первый министр;
100070017.D;Наш новый первый министр — настоящий аристократ;
100070017.A;Я уверен, что он идеально подойдет для этой работы.;
100070022.T;Назначен первый министр;
100070022.D;Наш новый первый министр — сварливый экономист.;
100070022.A;Я уверен, что он идеально подойдет для этой работы.;
100070020.T;Назначен первый министр;
100070020.D;Наш новый первый министр – настоящий патриот;
100070020.A;Я уверен, что он идеально подойдет для этой работы.;
100080001.T;Назначен первый министр;
100080001.D;Наш новый первый министр – опытный дипломат.;
100080001.A;Я уверен, что он идеально подойдет для этой работы.;
100080003.T;Назначен первый министр;
100080003.D;Наш новый первый министр — одаренный ученый;
100080003.A;Я уверен, что он идеально подойдет для этой работы.;
100080004.T;Назначен первый министр;
100080004.D;Наш новый первый министр — популярная фигура;
100080004.A;Я уверен, что он идеально подойдет для этой работы.;
100080008.T;Назначен первый министр;
100080008.D;Наш новый первый министр, э-э, весьма неортодоксален...;
100080008.A;Я уверен, что он идеально подойдет для этой работы.;
100080009.T;Назначен первый министр;
100080009.D;Наш новый первый министр — стойкий традиционалист.;
100080009.A;Я уверен, что он идеально подойдет для этой работы.;
100080010.T;Назначен первый министр;
100080010.D;Наш новый первый министр — прекрасный государственный деятель.;
100080010.A;Я уверен, что он идеально подойдет для этой работы.;
100080011.T;Назначен первый министр;
100080011.D;Наш новый первый министр - тихий гений;
100080011.A;Я уверен, что он идеально подойдет для этой работы.;
100080012.T;Назначен первый министр;
100080012.D;Наш новый первый министр твердо верит в реформы;
100080012.A;Я уверен, что он идеально подойдет для этой работы.;
100080014.T;Назначен первый министр;
100080014.D;Наш новый первый министр — блестящий администратор;
100080014.A;Я уверен, что он идеально подойдет для этой работы.;
100080015.T;Назначен первый министр;
100080015.D;Наш новый первый министр — настоящий провидец;
100080015.A;Я уверен, что он идеально подойдет для этой работы.;
100080016.T;Назначен первый министр;
100080016.D;Боюсь, в нашем новом первом министре нет ничего особенного.;
100080016.A;Я уверен, что он идеально подойдет для этой работы.;
100080021.T;Назначен первый министр;
100080021.D;Наш новый первый министр — член профсоюза.;
100080021.A;Я уверен, что он идеально подойдет для этой работы.;
100080019.T;Назначен первый министр;
100080019.D;Наш новый первый министр — чудо эффективности;
100080019.A;Я уверен, что он идеально подойдет для этой работы.;
100080020.T;Назначен первый министр;
100080020.D;Наш новый первый министр – настоящий патриот;
100080020.A;Я уверен, что он идеально подойдет для этой работы.;
100080123.T;Первый министр умер при исполнении служебных обязанностей!;
100080123.D;Сегодня утром наш трудолюбивый первый министр был найден мертвым за своим столом.;
100080123.A;Его будет очень не хватать.;
100080124.T;Первый министр помолвлен!;
100080124.D;После того, как он объявил четверг днем ??обязательного ношения пирогов, наш первый министр был «ушел в отставку»...;
100080124.A;Его будет очень не хватать.;
100080125.T;Великий лидер умер в офисе!;
100080125.D;Сегодня утром наш трудолюбивый Великий Вождь был найден мертвым в своем замке шестью девушками, находившимися на его попечении...;
100080125.A;Воистину, он слишком любил свой народ. Буквально в данном случае.;
2260601.T;Рождаемость падает!;
2260601.D;Наше население, похоже, потеряло интерес к созданию семьи.;
2260601.A;Тогда каждый ребенок дорог.;
2260602.T;Рождаемость очень низкая!;
2260602.D;Наше население, похоже, размножается меньше.;
2260602.A;Тогда каждый ребенок дорог.;
2260603.T;Низкая рождаемость!;
2260603.D;Наше население больше не увеличивается.;
2260603.A;Тогда каждый ребенок дорог.;
2260604.T;Стабильная рождаемость!;
2260604.D;Наше население, кажется, стабилизируется.;
2260604.A;Это хорошие новости.;
2260605.T;Высокая рождаемость!;
2260605.D;Наше население, кажется, увеличивается.;
2260605.A;Это хорошие новости.;
2260606.T;Рождаемость очень высокая!;
2260606.D;Наше население, кажется, быстро увеличивается.;
2260606.A;Это хорошие новости.;
2260607.T;Рождаемость Взрыв!;
2260607.D;Наше население размножается, как кролики!;
2260607.A;Должно быть что-то в воде.;
EVTNAME371200;Восстание распространяется;
EVTDESC371200;С распространением восстания внутри нашего царства некоторые из более изолированных владений отказываются от нашего контроля над ними.;
EVTOPTA371200;Мы победим;
EVTNAME371201;Восстание успокаивается;
EVTDESC371201;После завоевания нами некоторых центров восстания ситуация начинает успокаиваться.;
EVTOPTA371201;Большой!;
NeuKur1.T;Куршское предложение;
NeuKur1.D;Куршское правительство предложило нам купить остров Св. Андрея.;
371261.A;Мы с радостью принимаем.;
371261.B;Мы отказываемся.;
NeuKur2.T;$FROMCOUNTRY_ADJ$ принято!;
NeuKur2.D;Теперь мы владеем островом Сент-Эндрю!;
371262.A;Превосходно.;
NeuKur3.T;$FROMCOUNTRY_ADJ$ отказал....;
NeuKur3.D;Кажется, что наше предложение было недостаточным;
371263.A;Хм, понятно.;
NeuKur4.T;Куршское предложение;
NeuKur4.D;Куршское правительство предложило нам купить наши владения на малых Антильских островах.;
371264.A;Мы с радостью принимаем.;
371264.B;Мы отказываемся.;
NeuKur5.D;Теперь мы владеем испанскими Малыми Антильскими островами!;
371265.A;Превосходно.;
371266.A;Хм, понятно.;
NeuKur7.T;Куршское предложение;
NeuKur7.D;Курши хотят купить остров Сант Жорди.;
371267.A;Мы с радостью принимаем.;
371267.B;Мы отказываемся.;
NeuKur8.D;Теперь мы владеем островом Сан-Жорди!;
371268.A;Превосходно.;
371269.A;Хм, понятно.;
NeuKur10.T;Куршское предложение;
NeuKur10.D;Куршцы хотят купить остров Мартиника;
371270.A;Мы с радостью принимаем.;
371270.B;Мы отказываемся.;
NeuKur11.D;Теперь мы владеем островом Мартиника!;
371271.A;Превосходно.;
371272.A;Хм, понятно.;
NeuKur13.T;Куршское предложение;
NeuKur13.D;Курши хотят купить принадлежащие нам Малые Антильские острова.;
371273.A;Мы с радостью принимаем.;
371273.B;Мы отказываемся.;
NeuKur14.D;Мы владеем Гундерсхавном и Ларсхавном!;
371274.A;Превосходно.;
371275.A;Хм, понятно.;
NeuKur16.T;Куршское предложение;
NeuKur16.D;Куршцы хотят купить остров Монтсеррат;
371276.A;Мы с радостью принимаем.;
371276.B;Мы отказываемся.;
NeuKur17.D;Монтсеррат теперь у нас!;
371277.A;Превосходно.;
371278.A;Хм, понятно.;
NeuKur19.T;Куршское предложение;
NeuKur19.D;Курши хотят купить остров Кристобаль-и-Ньевес.;
371279.A;Мы с радостью принимаем.;
371279.B;Мы отказываемся.;
NeuKur20.D;Мы владеем островом Кристобаль-и-Ньевес!;
371280.A;Превосходно.;
371281.A;Хм, понятно.;
NeuKur22.T;Куршское предложение;
NeuKur22.D;Курши хотят купить Виргинские острова;
371282.A;Мы с радостью принимаем.;
371282.B;Мы отказываемся.;
NeuKur23.D;Теперь мы владеем Виргинскими островами.;
371283.A;Превосходно.;
371284.A;Хм, понятно.;
800050.A;Да здравствует настоящее $COUNTRY$!;
800051.A;Судьба $COUNTRY_ADJ$ ждет!;
800052.A;Пролетариат победил!;
800053.A;Да здравствуют буржуи!;
800054.A;Свобода восторжествовала!;
810055.A;Новое будущее для $COUNTRY$!;
810056.A;Рабочий класс торжествует!;
810057.A;Новое будущее для $COUNTRY$!;
800147.A;У нас нет другого выбора, кроме как подчиниться.;
800148.A;Мы все равно никогда не любили $FROMCOUNTRY$.;
800149.A;У нас нет другого выбора, кроме как подчиниться.;
97700.A;Мы приветствуем их возвращение.;
97700.B;Это слишком рискованно.;
800151.A;Мы приветствуем их возвращение.;
800151.B;Это слишком рискованно.;
800152.A;Это облегчение.;
800055.A;Отпусти их.;
800055.B;Мы сохраним то влияние, которое сможем.;
800055.C;Мы наведем порядок в нашем вассале!;
800056.A;Они того не стоят.;
800056.B;Мы будем настаивать на нашей претензии.;
97562.A;У нас мало выбора.;
97565.T;Звать на помощь!;
97565.D;Повстанцы набирают слишком много территории! Мы должны позвать на помощь наших защитников!;
97565.A;О, нет!;
97566.A;Мы сделаем все, что сможем.;
97566.B;Они должны стоять самостоятельно.;
97567.T;Опасность миновала;
97567.D;Опасность неминуемого свержения миновала.;
97567.A;Вау!;
97570.A;Они граждане $COUNTRY_ADJ$, а не «иностранцы».;
800100.A;Мы должны освободить наших братьев.;
800100.B;Это слишком рискованно.;
800101.A;Мы этого не потерпим.;
800101.B;Пусть это скользит.;
800102.A;Пусть приходят!;
97175.A;Этого нельзя допустить.;
97180.A;Мы возьмем на себя управление.;
97180.B;Это слишком рискованно.;
97181.A;Мы вернемся.;
97182.T;Свободный от колониального контроля!;
97182.D;Мы свободны!;
97182.A;Свободно!;
97185.T;Порядок восстановлен в $STATENAME$;
97185.D;Мы навели порядок в нашей колонии в $STATENAME$... по крайней мере на данный момент.;
97185.A;О времени!;
800066.A;Это к лучшему.;
800066.B;Это не нужно.;
800067.A;Мы принимаем предложение $FROMCOUNTRY$.;
800067.B;Мы не заинтересованы.;
800068.A;Это к лучшему.;
800068.B;Это не нужно.;
800069.A;Это к лучшему.;
800069.B;Это не нужно.;
800070.A;Это к лучшему.;
800070.B;Это не нужно.;
800071.A;Это к лучшему.;
800071.B;Это не нужно.;
800072.A;Это к лучшему.;
800072.B;Это не нужно.;
800073.A;Это к лучшему.;
800073.B;Это не нужно.;
800074.A;Это к лучшему.;
800074.B;Это не нужно.;
800075.A;Призыв к саммиту.;
800075.B;Это не нужно.;
800076.A;Мы очень хотим посетить саммит.;
800076.B;Мы пойдем, но ничего не обещаем.;
800076.C;Нам сейчас это неинтересно.;
800077.A;Прекрасные новости!;
800078.A;Может в следующий раз.;
800080.A;Инсульт?;
800081.A;Призыв к саммиту.;
800081.B;Это не нужно.;
800082.A;Призыв к саммиту.;
800082.B;Это не нужно.;
800083.A;Призыв к саммиту.;
800083.B;Это не нужно.;
800084.A;Это не было нашим намерением.;
800084.B;Им остается винить только себя.;
800085.A;Это не было нашим намерением.;
800085.B;Им остается винить только себя.;
800086.A;Это не было нашим намерением.;
800086.B;Им остается винить только себя.;
800087.A;Это не было нашим намерением.;
800087.B;Им остается винить только себя.;
800088.A;Не достаточно хорош!;
800088.B;Это придется сделать.;
800089.A;Они узнают свою ошибку.;
800089.B;Нас не будут провоцировать.;
800090.A;Мы увидим.;
800091.A;Хороший.;
800092.A;Пусть приходят!;
800093.A;Очень жаль.;
800094.A;Это может быть проблемой.;
800095.A;Это может быть проблемой.;
800096.A;Это может быть проблемой.;
800097.A;Это может быть проблемой.;
800098.A;Возмущение!;
800098.B;Это прискорбно.;
800060.A;Распространить слово!;
800060.B;Это слишком рискованно.;
800061.A;Распространить слово!;
800061.B;Это слишком рискованно.;
800062.A;Распространить слово!;
800062.B;Это слишком рискованно.;
800063.A;Распространить слово!;
800063.B;Это слишком рискованно.;
800064.A;Посмотрим, приведет ли это к чему-нибудь.;
800065.A;Будут последствия!;
800065.B;Мы протестуем против этого безобразия!;
800065.C;Это только пропаганда.;
EVTNAME199000;$PROVINCENAME$ Mine Runs Dry;
EVTDESC199000;По сообщениям $PROVINCENAME$, вскрылась основная шахта в районе. Горнодобывающие компании уже начали переезжать, и перед местными горняками стоит перспектива либо заняться сельским хозяйством, либо попытаться найти работу в другом месте.;
199000.A;Взрыв!;
199001.A;Взрыв!;
199005.A;Они должны немедленно приступить к работе.;
199005.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199006.A;Они должны немедленно приступить к работе.;
199006.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199007.A;Они должны немедленно приступить к работе.;
199007.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199008.A;Они должны немедленно приступить к работе.;
199008.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199009.A;Они должны немедленно приступить к работе.;
199009.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199015.A;Они должны немедленно приступить к работе.;
199015.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199016.A;Они должны немедленно приступить к работе.;
199016.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199017.A;Они должны немедленно приступить к работе.;
199017.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199018.A;Они должны немедленно приступить к работе.;
199018.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199019.A;Они должны немедленно приступить к работе.;
199019.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199020.A;Они должны немедленно приступить к работе.;
199020.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199021.A;Они должны немедленно приступить к работе.;
199021.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199022.A;Они должны немедленно приступить к работе.;
199022.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199023.A;Они должны немедленно приступить к работе.;
199023.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199030.A;Мы будем поощрять рыболовство.;
199030.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199031.A;Мы будем поощрять лесопилки.;
199031.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199032.A;Мы будем поощрять тропические лесопилки.;
199032.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199033.A;Мы будем поощрять ранчо.;
199033.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
199034.A;Будем поощрять зерновые хозяйства.;
199034.B;Нет... Текущая продукция $PROVINCENAME$ слишком ценна.;
EVTNAME199040;Логика плантации;
EVTDESC199040;Землевладельцы $COUNTRY_ADJ$ в $PROVINCENAME$ выразили заинтересованность в переключении местных ферм на более прибыльные плантации и отказ от традиционного земледелия местных жителей, которое, по их словам, гораздо менее эффективно, чем фермы дома в $COUNTRY$. Это было бы лучше для нашей колонии в долгосрочной перспективе.;
199040.A;Посадить его с сахаром.;
199040.B;Посадите его с кофе.;
199040.C;Посадите его с хлопком.;
199040.E;Посадите его со специями.;
199040.F;Посадите его с табаком.;
199040.G;Интенсифицировать существующую операцию.;
EVTNAME199041;Интенсивное земледелие;
EVTDESC199041;Землевладельцы по всему $STATENAME$ начали программу интенсивного земледелия, пытаясь максимально увеличить производительность земли. Однако есть те, кто критикует эти попытки, утверждая, что это может привести к истощению почвы и бедствию для местных жителей. Они просят правительство $COUNTRY_ADJ$ вмешаться.;
199041.A;Это неразумно.;
199041.B;Позвольте интенсивному сельскому хозяйству продолжаться.;
EVTNAME199042;Истощенные сельскохозяйственные угодья;
EVTDESC199042;Интенсивное земледелие в $PROVINCENAME$ привело к истощению почвы и снижению урожайности по всей области.;
199042.A;Взрыв!;
EVTOPTA29900;Верно, это.;
EVTNAME29901;$PROVINCENAME$ Электрифицирован!;
EVTDESC29901;Мать мать! Вы видели огни на главной улице? Они вставляют новые фонари в фонарные столбы! Говорят, что питаются от «электричества»!'\n\nЭлектричество в виде уличных фонарей поступило в $PROVINCENAME$. Этот новый тип освещения освещает наши города таким образом, о котором до сих пор можно было только мечтать, повышая эффективность и производительность местной промышленности, а также повышая качество жизни.;
EVTOPTA29901;Великолепно!;
EVTNAME29902;Взрыв $PROVINCENAME$;
EVTDESC29902;Мать мать! Вы слышали звуки и грохот, доносящиеся эхом из шахты? Говорят, это взрывчатка нового типа!'\n\nВнедрение в $PROVINCENAME$ нитроглицерина, а вместе с ним и возможности закапывать шахты глубже, чем когда-либо прежде, означает, что местная горнодобывающая промышленность увеличила свою добычу в несколько раз.;
EVTOPTA29902;Кабум!;
EVTNAME29903;Новый магазин в $PROVINCENAME$;
EVTDESC29903;Мать! Мать! Они открыли новый магазин в городе!»\n\nВ девятнадцатом веке были разработаны значительно улучшенные каналы распределения товаров среди более широких групп покупателей. Открытие новых специализированных и промышленных розничных магазинов имело важное значение для доставки потребителям новых промышленных товаров, произведенных на фабриках. Новый магазин в $PROVINCENAME$ повысит эффективность работы местных фермерских хозяйств, так как фермерам придется тратить меньше времени на поездки на рынки и обратно.;
EVTOPTA29903;Превосходно!;
299051.T;Шахтная добыча в $STATENAME$;
299051.D;В $STATENAME$ принята разработка глубоких стволов.;
299051.A;Превосходно;
299052.T;Карьерная добыча в $STATENAME$;
299052.D;Карьерная отработка принята во всем $STATENAME$.;
299052.A;Превосходно;
299053.T;Открытая добыча в $STATENAME$;
299053.D;Открытая разработка была принята во всем $STATENAME$.;
299053.A;Превосходно;
29907.T;Севооборот в $STATENAME$;
29907.D;Севооборот принят повсеместно $STATENAME$.;
29907.A;Замечательно;
29906.T;Фосфаты в $STATENAME$;
29906.D;Фосфорные удобрения внедрены на протяжении всего $STATENAME$.;
29906.A;Превосходно;
29905.T;Нитраты в $STATENAME$;
29905.D;Нитратные удобрения были приняты на протяжении всего $STATENAME$.;
EVTNAME32410;Наша Родина зовет;
EVTDESC32410;Препятствия, стоявшие против объединения русского народа, были слишком высоки. Но это уже неправда - одна из русских стран собрала достаточно сил, чтобы потребовать создания Русской Империи!;
EVTOPTA32410;Для Родины!;
32417.T;Русское единство;
32417.D;Новгород и Московия наконец-то соединились и больше никогда не разлучатся!;
32417.A;Единый и неделимый!;
32418.T;Дон и Волга;
32418.D;Берега южных рек обеспечены и больше не татарские;
32418.A;Единый и неделимый!;
EVTNAME202101;Наши претензии к Сибири;
EVTDESC202101;Сибирское ханство было последним настоящим остатком Золотой Орды. Он уцелел благодаря чуду - постоянная война между Великим княжеством (а позже и царством) Московским и его соседями привела к неизбежному вмешательству московских войск. А Новгородская республика? Их интересы лежали совсем в другом. И армия нужна была для их защиты. Но теперь перед нами лежат территории ханства, а с ними и претензии на сибирские пустоши.;
EVTOPTA202101;На восток, братья;
EVTNAME202103;Российское пограничье;
EVTDESC202103;Контроль над землями за Уралом очень шаток. Потеря ключевых крепостей, таких как Глазов или в Пермском районе, привела бы к потере контроля над всем Востоком.;
EVTOPTA202103;Давайте защитим их;
EVTNAME202105;Российское пограничье;
EVTDESC202105;Новгород и Московия всегда вели дипломатические и военные конфликты за контроль над Пограничьем. С «Единой Россией» эти проблемы заканчиваются.;
EVTOPTA202105;Слава Богу!;
EVTNAME202106;Новости с далеких берегов;
EVTDESC202106;Колониальная Торговая Компания Куршских Герцогов – это организация, которая просуществовала 250 лет, и нам удалось сохранить нашу собственную торговлю треугольником и завоевать несколько колоний по всему миру. Благодаря защите Скандинавской империи мы успешно расширились. Но с окончательным намерением иностранных соперников мы больше не можем управлять своими колониями.;
EVTOPTA202106;Очень жаль;
EVTNAME202107;Крах Куронии;
EVTDESC202107;С падением Куршской Родины земли ЦДПК были конфискованы нашими войсками.;
EVTOPTA202107;Я даже не могу найти место на карте;
EVTNAME202108;Крах Куронии;
EVTDESC202108;С падением Куршской Родины земли ЦДПК были конфискованы нашими войсками.;
EVTOPTA202108;Я даже не могу найти место на карте;
80115.A;Мы принимаем их предложение.;
80115.B;$COUNTRY$ не подавать!;
80116.T;$FROMCOUNTRY$ отказался;
80116.D;$FROMCOUNTRY$ по глупости отказался от любезного предложения защиты.;
80116.A;Да будет так.;
RUS_EXP_202201_t;Российские амбиции на Западе;
RUS_EXP_202201_d;Теперь, когда мы объединили русский народ, ведутся споры о том, как вести себя с различными государствами на нашей западной границе. Как мы видим, есть два основных варианта. Во-первых, мы могли бы попытаться проецировать морскую мощь, захватив порты и территории вдоль Балтийского или Черного морей, что облегчило бы дипломатическую и военную координацию с государствами Западной Европы. Расширение на север дает нам возможность ослабить наших врагов, в то время как южную стратегию было бы легче реализовать из-за упадка степных ханств. В качестве альтернативы мы могли бы сосредоточиться на освобождении русинского народа к западу от нас. Поскольку они так культурно похожи на нас, было бы легче включить их в наше государство.;
202201.A;Сосредоточьтесь на получении доступа к Балтийскому морю.;
202201.B;Покоряйте степи и расширяйтесь к Черному морю.;
202201.C;Зачем возиться с иностранцами? Мы должны принять панславизм!;
95500.A;Мы должны цивилизовать всю Африку;
95502.A;Это не сулит ничего плохого для $COUNTRY$.;
95503.A;$COUNTRY$ терпеть.;
95504.A;Во славу Аллаха!;
95505.A;У нас нет выбора, кроме как подчиниться.;
95505.B;Выгнать европейцев!;
95506.A;Мы не будем навязывать себя $FROMCOUNTRY$.;
95506.B;Давайте установим протекторат.;
